middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
adan,3,3,5,5,6
adel,1,1,5,4,3
ader,3,4,5,6,6
adr,5,4,6,6,6
aeri,1,1,7,5,2
agar,5,5,6,6,7
agil,3,1,6,5,5
agor,6,5,6,7,7
alan,3,2,4,5,6
alas,2,1,5,5,4
alda,3,1,6,5,3
alen,2,1,5,4,4
alin,2,1,5,4,3
alis,2,1,5,4,3
alor,3,2,6,5,5
amar,3,1,6,5,5
andar,4,4,6,6,6
anis,2,1,6,4,3
anor,4,2,6,6,6
aphi,1,1,7,5,2
arah,3,1,5,5,4
aral,3,1,5,5,4
aran,3,2,5,5,5
areth,2,1,6,6,5
aris,2,1,6,5,3
aros,3,2,6,5,5
arun,3,2,6,5,5
asel,2,1,6,4,3
astr,3,1,6,6,5
athor,5,4,7,7,7
avar,5,4,6,6,6
avil,3,1,6,5,4
avis,3,1,6,5,4
awen,1,1,6,4,2
ayel,1,1,6,4,2
ebor,5,4,6,6,7
edan,3,2,5,5,5
edel,1,1,5,4,3
eden,1,1,5,4,4
edor,4,4,5,6,6
edrin,3,2,6,5,5
egor,5,5,5,6,7
elad,3,1,6,5,4
elan,2,1,6,4,3
eldr,4,3,6,5,5
elen,1,1,5,4,2
elian,1,1,7,4,3
elis,2,1,6,4,3
ellen,1,1,5,4,2
ellis,2,1,5,4,3
eloth,4,2,7,5,5
elron,3,1,7,5,5
elros,3,1,7,5,5
elwen,1,1,7,4,2
emar,3,2,6,5,5
emir,3,1,6,5,5
emond,3,2,6,5,5
enda,2,1,5,4,3
endir,3,1,6,5,5
endor,4,3,7,6,6
endril,3,1,7,5,4
enia,1,1,6,4,1
enor,3,2,6,5,5
eros,3,1,6,5,5
eryn,2,1,6,4,3
estra,2,1,6,5,3
ethil,2,1,7,4,3
evain,2,1,7,5,4
evar,4,3,6,6,6
ewyr,3,1,7,5,4
idar,4,3,6,5,6
idel,2,1,6,4,3
idor,4,4,6,5,6
idril,1,1,7,4,3
iel,1,1,6,4,2
igil,3,2,6,5,5
ilan,2,1,6,4,3
ilda,2,1,6,4,2
ildar,3,2,7,5,5
ilias,2,1,7,4,3
ilith,3,1,7,5,3
ilmar,3,1,7,5,5
ilon,3,1,6,5,4
ilor,3,1,6,5,5
ilthir,4,2,8,6,5
ilus,3,1,6,5,5
imli,3,3,6,4,4
imon,3,2,5,5,5
inar,3,2,6,5,5
indel,2,1,7,4,3
indil,2,1,7,4,3
indor,4,3,7,6,6
inel,2,1,6,4,3
inia,1,1,6,4,1
inis,2,1,6,4,3
inor,3,2,6,5,5
inos,3,2,6,5,5
inril,2,1,7,4,3
inya,1,1,7,4,1
iona,2,1,6,4,1
ior,3,2,6,5,5
iros,3,2,6,5,5
isel,2,1,6,4,3
isil,1,1,7,4,3
ithil,1,1,7,5,3
ithir,4,2,7,6,5
ithor,5,4,7,7,7
odar,5,4,6,6,7
odel,3,2,6,5,5
oden,4,3,5,5,6
odor,5,4,6,6,7
ogan,4,5,5,6,7
olin,3,2,5,5,5
olor,4,2,6,6,6
omar,4,4,6,6,6
omin,3,2,6,5,5
ondel,3,1,7,5,4
ondor,5,4,7,7,7
onir,3,1,7,5,5
onor,4,2,6,6,6
orad,5,4,6,6,6
oram,4,4,6,6,6
oran,4,4,6,6,6
orin,3,2,6,5,5
orion,3,1,7,6,5
orith,3,1,7,6,5
oros,4,2,7,6,5
oroth,5,4,7,7,6
orra,3,1,6,5,3
orth,5,4,6,7,7
orus,4,3,7,6,6
otar,5,4,6,6,7
othil,4,2,7,6,5
othor,5,4,7,7,7
ulan,4,4,6,5,6
uldar,5,4,7,6,7
uldor,6,5,7,7,7
ulen,3,2,6,5,5
ulgar,6,6,7,7,8
ulgor,6,6,7,7,8
ulin,3,2,6,5,5
ulor,5,4,7,6,7
umar,5,4,6,6,7
umin,4,4,6,5,6
undil,3,1,7,5,5
undor,6,5,7,7,7
unor,5,4,7,6,7
urad,5,4,6,6,7
urath,6,5,7,7,7
uram,5,4,6,6,7
uran,5,4,6,6,7
urien,3,1,7,5,4
urod,6,5,7,7,7
uron,5,4,7,6,7
uroth,6,5,7,7,7
uthar,6,5,7,7,7
uthil,4,2,7,6,6
uthor,6,5,7,7,8
ylar,3,1,7,5,5
yldar,3,1,7,5,5
ylian,1,1,7,4,3
ylor,3,1,7,5,5
yndir,3,1,7,5,4
ynel,1,1,7,4,3
ynor,3,1,7,5,5
yrian,3,1,7,5,4
yrion,3,1,7,6,5
yron,3,1,7,5,5
ythil,3,1,8,5,3
elianth,1,1,8,5,2
istran,3,2,6,6,6
ondar,4,3,6,7,7
imir,3,1,6,5,5
erion,2,1,6,6,5
istil,2,1,7,4,3
uviel,2,1,8,5,2
ogmar,6,6,5,7,8
azmar,7,5,7,7,7
zakar,6,5,6,7,7
gorum,7,6,5,7,8
balar,5,5,4,6,7
silan,1,1,5,4,4
hali,2,2,4,4,3
borin,5,5,3,6,8
ganon,5,4,4,7,7
