suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
a,1,1,1,2,1
ael,1,1,7,5,2
aen,2,1,7,5,3
aeth,3,1,8,6,3
ai,2,1,6,4,2
aia,1,1,7,3,1
al,3,3,2,4,5
ala,2,1,5,3,2
ali,2,1,5,3,2
am,3,3,3,5,6
an,3,3,2,5,6
ana,2,1,4,3,2
ani,2,1,5,3,2
anor,4,3,7,7,7
ar,4,4,2,6,7
aria,1,1,6,4,1
arian,2,1,7,6,5
aris,3,1,6,5,3
ath,5,3,6,6,6
aya,1,1,6,3,1
ayne,3,1,6,5,3
bor,6,6,4,6,8
claw,7,7,3,7,8
da,3,2,3,3,2
dar,6,5,5,7,7
den,4,4,3,5,6
dil,2,1,5,4,3
din,4,4,3,6,7
dor,6,5,4,7,7
doth,6,4,6,6,6
dred,8,6,5,8,8
drin,5,4,5,6,7
dûr,7,5,7,8,8
e,1,1,1,2,2
ea,2,1,4,3,2
ean,3,1,5,4,3
el,1,1,2,3,2
ela,1,1,5,3,1
ele,1,1,5,3,1
elle,1,1,4,3,1
en,3,2,2,3,4
era,2,1,5,4,2
erin,2,1,5,4,3
es,3,2,2,3,4
eth,3,1,5,5,4
eve,1,1,4,4,2
ez,4,3,4,5,6
fang,8,7,5,8,8
fire,6,4,3,7,6
for,6,5,3,7,7
garn,5,5,5,6,7
gorn,6,6,5,7,8
had,5,5,4,6,7
han,4,4,3,5,7
har,5,5,4,6,7
haz,6,5,5,6,7
heart,2,1,2,5,5
hell,8,6,3,7,7
ia,1,1,5,3,1
ian,3,1,4,4,5
iana,1,1,6,3,1
iane,1,1,6,3,2
ice,3,1,3,4,3
id,3,2,3,4,5
ide,3,1,4,4,4
iel,1,1,6,4,2
ienne,1,1,6,3,1
il,2,1,3,3,4
im,3,3,3,5,6
in,3,2,2,4,6
ina,1,1,3,3,1
ion,3,1,4,5,5
ior,3,1,6,5,5
ir,4,3,3,5,6
ira,3,1,5,4,2
ire,3,1,4,5,4
is,3,1,3,4,4
ith,4,2,5,5,5
ix,5,2,6,5,4
ize,4,1,5,5,4
ja,4,3,5,4,2
ji,4,2,6,4,3
ka,4,4,5,5,3
ki,3,2,5,4,2
l,2,1,2,3,5
la,1,1,3,2,1
las,3,2,4,5,6
lay,3,1,3,4,4
le,1,1,2,2,2
leth,5,3,6,5,4
lia,1,1,5,3,1
lian,1,1,6,4,2
lin,2,1,4,3,3
lion,3,1,6,5,4
lir,2,1,6,5,3
lith,4,2,6,5,4
ll,3,1,2,3,4
lla,1,1,4,3,1
lle,1,1,4,3,1
llyn,1,1,6,4,2
lor,3,2,5,5,5
los,4,3,4,5,6
lyn,1,1,5,3,2
ma,3,2,3,3,2
mar,5,4,4,6,6
mir,3,1,5,5,5
n,3,2,1,3,5
na,2,1,3,2,1
nce,3,1,3,3,3
nd,4,4,2,4,6
nda,3,1,4,3,2
ne,2,1,2,2,2
nel,2,1,4,3,3
nes,3,1,4,4,3
nia,1,1,5,3,1
nil,3,1,5,4,4
nine,1,1,5,3,2
nir,3,1,6,5,4
nis,3,1,5,4,3
nna,1,1,3,2,1
nne,1,1,3,2,1
nor,5,4,4,6,6
noth,6,4,6,6,6
nya,1,1,6,3,1
o,4,3,1,3,4
oa,3,1,5,4,3
od,4,4,3,5,6
oe,3,1,4,3,3
ol,4,4,3,4,5
on,4,4,2,5,6
ond,5,3,5,6,6
one,3,1,3,4,3
ong,5,5,4,6,7
oom,4,4,4,5,6
or,5,4,3,6,7
ora,3,1,5,4,2
ore,4,3,3,5,4
orn,5,4,4,6,7
oros,4,1,7,6,6
orth,5,4,5,6,6
os,4,4,3,5,6
oth,6,4,5,6,6
our,4,1,4,5,5
ow,3,2,2,4,5
r,4,4,1,4,6
ra,3,1,3,3,2
ran,4,4,4,5,6
rand,5,4,5,6,7
rax,6,4,7,7,7
rd,5,5,2,5,7
red,5,4,2,5,6
rek,5,5,5,6,7
rel,2,1,4,4,4
ren,3,2,4,4,5
res,3,2,3,5,6
ret,3,2,3,4,5
rex,6,4,6,7,7
ria,1,1,5,3,1
ric,4,3,3,5,5
rien,2,1,6,4,3
ril,3,1,5,4,4
rim,4,3,5,5,5
rin,3,1,4,4,4
ris,3,1,4,4,4
rith,4,2,6,5,5
rix,4,1,6,5,3
rn,5,4,3,5,7
ro,4,4,2,4,5
rod,5,5,3,6,7
ron,5,4,3,6,7
ros,3,1,4,5,5
roth,6,4,5,6,7
rr,5,4,3,5,7
rra,3,1,5,4,2
rth,5,4,4,6,7
run,5,4,5,6,7
rus,5,4,4,6,7
ryn,2,1,6,5,3
s,3,1,1,3,5
sa,3,1,3,3,2
sar,4,3,5,6,6
se,2,1,2,2,2
sha,3,1,4,3,2
shee,1,1,5,3,2
shia,1,1,6,4,1
sho,4,3,4,4,4
sir,3,2,5,6,6
sis,3,1,4,3,2
sk,5,5,3,5,7
sol,2,1,5,6,5
son,4,4,2,5,7
sor,5,4,4,6,6
ss,3,1,2,3,4
ssa,1,1,4,3,1
sso,3,1,5,4,3
st,4,4,2,4,6
star,2,1,3,5,5
stin,3,1,4,5,5
ston,4,5,3,6,7
sya,1,1,6,3,1
t,4,4,1,3,5
ta,3,2,3,3,2
tel,3,1,4,4,4
ten,3,2,3,4,5
ter,4,4,2,5,6
th,4,3,2,4,5
tha,3,1,4,3,2
the,2,1,3,3,3
thia,1,1,6,4,2
thiel,1,1,7,5,3
thien,1,1,7,5,3
thos,4,3,6,5,5
thra,5,4,6,6,5
thus,5,4,6,6,6
tia,1,1,5,3,1
tion,3,1,4,5,5
tir,3,2,5,5,5
tor,5,5,4,6,7
tus,5,4,5,6,6
u,4,4,2,3,5
ual,3,1,5,5,5
uard,5,4,5,6,7
ue,3,1,3,3,3
ul,5,4,4,5,6
um,5,4,4,6,6
un,4,3,3,5,6
und,5,4,4,6,6
une,2,1,5,4,3
ur,5,5,3,6,7
us,5,4,3,6,6
uth,5,4,5,6,6
va,3,1,4,4,2
val,3,1,4,5,5
van,3,1,5,5,5
var,4,3,5,6,6
vere,2,1,6,5,4
via,1,1,5,3,1
viel,1,1,6,4,2
vin,3,1,4,5,5
vir,3,1,5,5,5
vis,3,1,5,5,4
vor,6,5,5,6,7
vus,5,4,6,6,6
wen,1,1,5,3,2
weth,2,1,6,5,3
win,2,1,3,5,5
wood,3,3,2,4,6
wyn,1,1,6,4,2
x,6,3,5,6,6
xa,5,2,6,5,3
xan,5,2,6,5,5
xar,6,4,7,7,7
xe,4,1,6,4,3
xia,3,1,7,5,2
xil,4,1,7,5,4
xis,4,1,6,5,4
xius,4,1,7,6,5
xor,6,4,7,7,7
xus,6,3,7,7,7
ya,1,1,5,3,1
yan,3,1,6,4,3
yd,3,2,5,4,5
ye,2,1,4,3,2
yn,1,1,5,3,3
yne,1,1,6,4,2
yra,2,1,6,4,2
yre,2,1,6,4,3
yria,1,1,7,5,1
ys,2,1,6,4,3
yth,3,1,6,5,4
za,4,3,5,4,2
zan,5,3,6,5,5
zar,6,4,7,7,7
ze,3,1,5,4,3
zen,3,1,6,5,4
zia,3,1,6,4,2
zir,5,3,7,6,6
zor,6,4,7,7,7
gar,6,6,4,7,8
grim,7,6,4,7,8
kar,6,5,5,7,7
nar,5,4,4,6,7
thar,6,5,5,7,8
zul,7,5,6,7,8
wynne,1,1,5,4,1
lara,1,1,4,3,1
liana,1,1,6,4,1
niah,1,1,5,3,1
sina,1,1,4,3,1
ius,4,1,8,7,7
inus,5,1,8,8,7
phor,4,2,7,6,6
qel,3,1,9,5,4
zian,5,2,8,6,5
vane,3,1,6,5,5
et,2,2,2,2,4
let,1,1,3,1,3
ley,2,2,2,3,5
by,2,3,2,2,5
