middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ad,4,4,4,5,6
ae,2,2,6,3,3
ah,3,3,5,4,4
al,3,3,3,4,5
am,3,3,4,4,5
an,3,3,3,4,5
ar,4,4,4,5,6
as,3,3,4,4,5
at,4,4,4,5,6
av,3,2,5,4,4
ax,5,4,6,6,6
ay,2,2,5,3,3
ec,3,3,5,4,5
ed,4,4,4,5,6
ef,3,3,5,4,5
eh,3,3,5,4,4
el,2,2,4,3,4
em,3,3,4,4,5
en,3,3,3,4,5
er,3,3,4,4,5
es,3,3,4,4,4
et,3,3,4,4,5
ev,3,2,5,4,4
ex,4,3,6,5,5
ez,4,3,6,5,5
ia,2,1,6,3,2
ic,3,3,5,4,5
id,4,3,4,4,5
ig,4,4,5,5,6
ih,3,3,5,4,4
il,2,2,5,3,4
im,3,3,4,4,5
in,3,3,4,4,5
ir,3,3,5,4,5
is,3,3,4,4,4
it,4,3,4,5,6
iv,3,2,5,4,4
ix,4,2,6,5,5
od,4,4,4,5,6
og,5,5,5,6,7
oh,4,4,5,5,5
ol,4,4,4,5,6
om,4,4,4,5,6
on,4,4,3,5,6
or,4,4,4,5,6
os,4,4,4,5,6
ot,5,5,4,6,7
ov,4,3,5,5,5
ox,6,4,7,7,7
oz,5,4,6,6,6
ua,3,2,6,4,3
ub,5,5,5,6,7
uc,4,4,5,5,6
ud,5,5,5,6,7
uf,4,4,5,5,6
ug,6,6,5,7,8
uh,4,4,5,5,5
ul,5,4,5,5,6
um,5,4,5,6,6
un,4,3,4,5,6
ur,5,5,4,6,7
us,5,4,4,6,6
ut,5,5,4,6,7
uv,4,3,6,5,5
ux,6,4,7,7,7
uz,5,4,6,6,6
ab,4,4,4,5,6
eb,4,3,5,4,5
ib,4,3,5,4,5
ob,5,4,5,6,7
ub,5,5,5,6,7
ag,4,4,4,5,6
eg,4,4,5,5,6
ig,4,4,5,5,6
og,5,5,5,6,7
ug,6,6,5,7,8
ak,5,5,5,6,7
ek,4,4,5,5,6
ik,4,4,5,5,6
ok,5,5,5,6,7
uk,6,6,5,7,8
ap,4,4,4,5,6
ep,4,3,5,4,5
ip,4,3,5,4,5
op,5,4,5,6,7
up,5,5,5,6,7
aw,3,3,4,4,5
ew,3,2,5,4,4
ow,4,3,4,5,5
uw,4,3,5,5,5
ya,2,1,6,3,2
ye,2,2,5,3,3
yi,2,2,6,3,3
yo,3,2,5,4,4
yu,3,2,6,4,4
