prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
ah,3,2,6,4,4,1
al,4,3,5,6,7,1
az,7,5,8,6,6,1
abra,2,3,5,4,3,1
amu,3,2,7,5,4,1
asim,4,4,6,5,6,1
akh,6,6,7,7,7,1
amir,2,3,6,7,8,1
anuk,5,5,8,6,6,1
azra,3,2,7,5,3,1
agrab,5,5,6,5,7,1
ara,2,2,6,3,2,1
alim,4,3,6,5,6,1
azir,6,4,7,7,7,1
azar,7,6,7,8,6,1
bal,6,7,3,7,8,0
bas,5,6,4,6,7,0
bah,3,4,6,5,6,0
bar,5,5,4,7,8,0
bak,6,6,5,7,7,0
ban,4,5,3,5,6,0
bed,3,5,4,5,6,0
bel,2,3,5,4,5,0
ber,5,6,4,6,7,0
bey,3,3,6,6,7,0
bur,6,7,4,7,8,0
cal,3,4,3,5,6,0
car,4,5,3,6,7,0
cas,3,4,4,5,6,0
dah,4,5,6,6,7,0
dar,5,6,5,7,8,0
das,4,5,5,5,6,0
dav,4,4,4,5,6,0
dez,5,5,6,6,7,0
din,5,6,5,6,7,0
dir,6,6,5,7,8,0
dja,5,5,7,6,7,0
dur,6,7,5,7,8,0
ek,5,5,6,6,7,1
el,2,2,5,4,5,1
em,3,2,5,4,3,1
en,2,3,4,4,5,1
er,3,4,4,5,6,1
es,2,3,5,4,5,1
et,3,4,4,5,6,1
ez,4,4,6,5,6,1
fa,3,3,6,4,4,0
far,4,4,5,6,7,0
fal,3,3,5,5,6,0
fah,3,3,6,4,5,0
fel,2,3,4,4,5,0
fen,3,3,4,5,5,0
fer,4,4,4,6,7,0
fez,3,3,6,5,6,0
ga,4,5,5,6,7,0
gal,4,4,5,5,6,0
gar,5,6,4,7,8,0
gha,5,6,7,6,7,0
ghaz,6,6,8,7,8,0
hab,4,5,6,5,6,0
haj,5,4,7,6,7,0
hal,3,4,5,5,6,0
ham,4,5,5,6,7,0
har,5,5,5,7,7,0
has,4,5,5,5,6,0
hat,3,4,5,5,6,0
haz,5,5,7,6,7,0
ib,4,4,6,5,6,1
il,2,2,5,4,5,1
im,3,3,5,4,4,1
in,2,2,4,3,5,1
ir,3,3,5,5,6,1
is,2,2,5,4,5,1
iz,4,3,6,5,5,1
ja,3,4,6,5,6,0
jah,4,4,7,5,6,0
jak,5,5,6,6,7,0
jal,3,4,6,5,6,0
jam,4,5,5,6,7,0
jar,5,5,5,6,7,0
jas,3,3,5,5,6,0
jaz,4,3,7,5,5,0
ka,4,5,5,6,7,0
kal,4,5,5,6,7,0
kam,5,5,5,6,7,0
kar,5,6,5,7,8,0
kas,4,5,5,6,6,0
kay,3,3,5,5,6,0
kaz,5,5,7,6,7,0
kha,5,6,7,7,7,0
khal,6,6,8,7,8,0
khar,6,7,7,8,8,0
khaz,7,7,8,8,8,0
la,2,2,4,3,2,0
lah,3,2,6,4,3,0
lal,3,3,5,4,4,0
lam,3,4,5,5,5,0
lan,2,3,4,4,5,0
lar,4,4,5,6,6,0
las,3,3,5,4,5,0
laz,4,3,6,5,5,0
ma,3,4,3,5,5,0
mah,4,3,6,5,5,0
mal,4,4,5,5,6,0
mam,4,5,5,6,6,0
man,3,4,3,5,6,0
mar,4,5,4,6,7,0
mas,3,4,4,5,6,0
maz,4,4,6,5,6,0
mir,3,3,6,5,6,0
mos,4,5,5,6,7,0
mosh,5,6,6,6,7,0
muj,5,6,7,6,7,0
mut,4,5,5,6,7,0
na,2,3,4,4,4,0
nah,3,3,6,4,4,0
nal,3,3,5,4,5,0
nam,3,4,5,5,5,0
nan,2,3,4,4,4,0
nar,4,4,5,6,6,0
nas,3,3,5,4,5,0
naz,4,3,6,5,5,0
nef,3,4,5,5,6,0
nim,3,3,5,4,5,0
niz,4,4,6,5,6,0
ob,4,5,5,5,6,1
och,5,6,6,6,7,1
od,4,5,4,5,6,1
of,3,4,4,4,6,1
og,5,6,5,6,7,1
oh,3,3,5,4,5,1
ok,4,5,5,5,6,1
om,3,4,5,5,5,1
on,2,3,3,4,5,1
op,4,5,4,5,6,1
or,4,4,4,5,6,1
os,3,4,5,4,6,1
osh,4,5,6,5,6,1
ot,3,4,4,5,6,1
oz,4,4,6,5,6,1
pa,3,4,3,5,6,0
pah,4,4,6,5,6,0
pal,3,4,4,5,6,0
pam,4,5,4,6,6,0
pan,3,4,3,5,6,0
par,4,5,4,6,7,0
pas,3,4,4,5,6,0
paz,4,4,6,5,6,0
qa,4,4,7,5,6,0
qah,5,4,8,6,7,0
qal,4,4,7,6,7,0
qam,5,5,7,6,7,0
qan,4,4,7,5,6,0
qar,5,5,7,7,8,0
qas,4,4,7,5,7,0
qaz,5,4,8,6,7,0
ra,3,4,4,5,6,0
rah,4,3,6,6,6,0
ral,3,4,5,5,6,0
ram,4,5,5,6,7,0
ran,3,4,4,5,6,0
rar,4,5,5,6,7,0
ras,3,4,5,5,6,0
raz,4,4,6,6,6,0
sa,3,3,4,4,5,0
sah,4,3,6,5,5,0
sal,3,3,5,4,5,0
sam,4,4,5,5,6,0
san,3,3,4,4,5,0
sar,4,4,5,6,6,0
sas,3,3,5,4,5,0
saz,4,3,6,5,5,0
sha,4,4,6,5,5,0
shah,5,4,7,6,6,0
shal,4,4,6,5,6,0
sham,5,5,6,6,6,0
shan,4,4,6,5,5,0
shar,5,5,6,7,7,0
shas,4,4,6,5,6,0
shaz,5,4,7,6,6,0
sul,4,5,5,6,7,0
sum,5,5,5,6,7,0
sun,4,4,5,5,6,0
sur,5,5,5,7,7,0
ta,3,3,4,4,5,0
tah,4,3,6,5,5,0
tal,3,3,5,4,5,0
tam,4,4,5,5,6,0
tan,3,3,4,4,5,0
tar,4,4,5,6,6,0
tas,3,3,5,4,5,0
taz,4,3,6,5,5,0
ul,4,4,6,5,6,1
um,3,4,5,5,6,1
un,3,3,5,4,5,1
ur,4,4,5,6,7,1
us,3,4,5,5,6,1
ut,3,4,5,5,6,1
uz,4,4,6,5,6,1
wa,3,4,4,5,6,0
wah,4,3,6,5,6,0
wal,3,4,5,5,6,0
wam,4,5,5,6,7,0
wan,3,4,4,5,6,0
war,4,5,5,6,7,0
was,3,4,5,5,6,0
waz,4,4,6,5,6,0
ya,3,3,5,4,4,0
yah,4,3,6,5,5,0
