suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ad,4,5,4,5,6
af,3,4,5,4,5
ag,4,5,4,5,6
ah,3,3,6,4,4
aj,4,4,6,5,6
ak,4,5,5,5,6
al,3,4,5,4,5
am,4,5,5,5,6
an,3,4,4,4,5
ar,4,5,5,5,6
as,3,4,5,4,5
at,3,4,4,4,5
aw,3,4,5,4,5
ay,3,3,5,4,4
az,4,4,7,5,5
eb,3,4,4,4,5
ed,3,4,3,4,5
ef,2,3,4,3,4
eg,3,4,3,4,5
eh,2,2,5,3,4
ej,3,3,5,4,5
ek,3,4,4,4,5
el,2,3,4,3,4
em,3,4,4,4,5
en,2,3,3,3,4
er,3,4,4,4,5
es,2,3,4,3,4
et,2,3,3,3,4
ew,2,3,4,3,4
ey,2,2,4,3,3
ez,3,3,6,4,5
ib,3,4,5,4,5
id,3,4,4,4,5
if,2,3,5,3,4
ig,3,4,4,4,5
ih,2,2,6,3,4
ij,3,3,5,4,5
ik,3,4,5,4,5
il,2,3,5,3,4
im,3,4,5,4,5
in,3,4,4,4,5
ir,3,4,5,4,5
is,2,3,5,3,4
it,2,3,4,3,4
iw,2,3,5,3,4
iy,2,2,5,3,3
iz,3,3,6,4,5
ob,4,5,5,5,6
od,4,5,4,5,6
of,3,4,5,4,5
og,4,5,4,5,6
oh,3,3,6,4,5
oj,4,4,6,5,6
ok,4,5,5,5,6
ol,3,4,5,4,5
om,4,5,5,5,6
on,3,4,4,4,5
or,4,5,5,5,6
os,3,4,5,4,5
ot,3,4,4,4,5
ow,3,4,5,4,5
oy,3,3,5,4,4
oz,4,4,7,5,6
ub,5,6,5,6,7
ud,5,6,4,6,7
uf,4,5,5,5,6
ug,5,6,4,6,7
uh,4,4,6,5,6
uj,5,5,6,6,7
uk,5,6,5,6,7
ul,4,5,5,5,6
um,5,6,5,6,7
un,4,5,4,5,6
ur,5,6,5,6,7
us,4,5,5,5,6
ut,4,5,4,5,6
uw,4,5,5,5,6
uy,4,4,5,5,6
uz,5,5,7,6,7
abad,4,5,6,5,6
abah,3,4,7,4,5
abak,4,5,6,5,6
aban,3,4,5,4,5
abar,4,5,6,5,6
abas,3,4,6,4,5
abat,3,4,5,4,5
abaz,4,4,7,5,5
adah,3,3,6,4,4
adan,2,3,5,3,4
adar,3,4,6,4,5
adas,2,3,6,3,4
adat,2,3,5,3,4
adaz,3,3,7,4,4
afah,3,3,7,4,4
afan,2,3,6,3,4
afar,3,4,7,4,5
afas,2,3,7,3,4
afat,2,3,6,3,4
afaz,3,3,8,4,4
agad,4,5,5,5,6
agah,3,4,6,4,5
agan,3,4,4,4,5
agar,4,5,5,5,6
agas,3,4,5,4,5
agat,3,4,4,4,5
agaz,4,4,6,5,5
ahad,4,4,7,5,5
ahan,3,3,6,4,4
ahar,4,4,7,5,5
ahas,3,3,7,4,4
ahat,3,3,6,4,4
ahaz,4,3,8,5,4
ajad,4,4,7,5,6
ajah,3,3,7,4,5
ajan,3,3,6,4,5
ajar,4,4,7,5,6
ajas,3,3,7,4,5
ajat,3,3,6,4,5
ajaz,4,3,8,5,5
akad,4,5,6,5,6
akah,3,4,7,4,5
akan,3,4,5,4,5
