middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ad,2,4,4,4,5
ae,1,1,6,3,3
ah,2,3,5,3,4
al,2,3,3,3,4
am,2,3,4,3,4
an,2,3,2,3,4
ar,3,4,4,4,5
as,2,3,4,3,4
at,3,4,4,4,5
av,2,2,5,3,3
ax,4,3,6,5,5
ay,1,2,5,2,3
ec,2,2,5,3,4
ed,3,4,4,4,5
ef,2,3,5,3,4
eh,2,2,5,3,4
el,1,2,4,2,3
em,2,3,4,3,4
en,2,3,3,3,4
er,2,3,4,3,4
es,2,2,4,3,3
et,2,3,4,3,4
ev,2,1,6,3,3
ex,3,2,6,4,4
ez,3,3,6,4,4
ia,1,1,6,2,2
ic,2,2,5,3,4
id,3,3,4,3,4
ig,3,4,5,4,5
ih,2,2,5,3,4
il,1,2,5,2,3
im,2,3,4,3,4
in,2,2,4,3,4
ir,2,2,5,3,4
is,2,2,4,3,3
it,3,3,4,4,5
iv,2,1,6,3,3
ix,3,2,7,4,4
od,3,4,4,4,5
og,4,5,5,5,6
oh,3,3,5,4,4
ol,3,4,4,4,5
om,3,4,4,4,5
on,3,4,3,4,5
or,3,4,4,4,5
os,3,4,4,4,5
ot,4,5,4,5,6
ov,3,3,5,4,4
ox,5,4,7,6,6
oz,4,4,6,5,5
ua,2,1,6,3,2
ub,4,5,5,5,6
uc,3,4,5,4,5
ud,4,5,5,5,6
uf,3,4,5,4,5
ug,5,6,5,6,7
uh,3,3,5,4,4
ul,4,4,5,4,5
um,4,4,5,5,5
un,3,3,4,4,5
ur,4,5,4,5,6
us,4,4,4,5,5
ut,4,5,4,5,6
uv,3,2,6,4,4
ux,5,3,8,6,6
uz,4,4,7,5,5
ab,3,4,4,4,5
eb,3,3,5,3,4
ib,3,3,5,3,4
ob,4,4,5,5,6
ub,4,5,5,5,6
ag,3,4,4,4,5
eg,3,4,5,4,5
ig,3,4,5,4,5
og,4,5,5,5,6
ug,5,6,5,6,7
ak,4,5,5,5,6
ek,3,4,5,4,5
ik,3,4,5,4,5
ok,4,5,5,5,6
uk,5,6,5,6,7
ap,3,4,4,4,5
ep,3,3,5,3,4
ip,3,3,5,3,4
op,4,4,5,5,6
up,4,5,5,5,6
aw,2,3,4,3,4
ew,2,2,5,3,3
ow,3,3,4,4,4
uw,3,3,6,4,4
ya,1,1,6,2,2
ye,1,2,5,2,3
yi,1,2,6,2,3
yo,2,2,5,3,4
yu,2,2,6,3,4
