suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ac,5,6,4,5,7
ach,6,7,6,5,8
ack,6,7,4,5,8
ad,5,5,4,5,7
adoc,6,5,7,7,8
ael,3,2,7,5,5
aer,4,2,7,6,6
aes,4,2,7,5,6
af,4,4,5,4,6
ag,6,7,5,5,8
agan,5,5,6,6,7
ah,4,4,5,4,5
aidd,4,3,7,6,6
aigh,5,4,7,5,6
ail,3,2,6,4,4
ain,3,2,6,5,5
air,4,2,5,5,6
aith,4,2,7,5,5
ak,6,7,5,6,8
al,4,4,3,5,7
alb,4,4,4,6,7
ald,6,6,4,7,8
alf,4,4,5,6,7
allen,3,3,5,5,5
allon,4,4,6,6,6
alm,4,4,5,6,7
alon,4,3,6,6,6
alt,5,6,5,6,8
alyn,3,3,6,5,5
am,5,5,4,5,7
an,4,4,3,5,7
anc,5,5,5,5,7
and,5,5,4,6,7
ane,3,3,5,4,5
ang,6,6,5,6,8
ant,5,5,5,5,7
anth,4,4,6,5,6
anyl,3,3,7,5,5
ar,5,5,3,6,8
ard,6,6,4,7,8
ark,6,7,4,7,8
arl,5,6,4,6,8
arm,5,6,4,6,8
arn,6,6,4,7,8
aron,5,5,5,7,7
arp,6,6,5,6,8
arr,6,6,4,6,8
art,6,6,4,7,8
arth,6,5,5,7,8
as,4,4,3,4,6
ash,5,6,4,5,7
ask,5,6,5,5,7
ast,5,5,4,6,7
at,5,5,3,4,7
ath,6,5,6,6,7
augh,5,5,6,5,7
aun,4,4,5,5,6
awn,3,3,6,4,5
ax,6,6,6,6,8
ay,3,3,4,4,5
baen,4,4,7,6,7
bain,4,3,6,6,7
bairn,3,4,5,4,6
ban,5,5,4,6,8
bar,6,6,4,7,8
bard,4,4,5,5,7
bark,5,7,4,5,7
bas,5,5,4,5,8
bault,6,6,6,7,8
bay,4,3,4,4,6
bean,3,4,4,4,6
bear,6,7,4,8,9
bec,5,6,5,5,7
bedd,5,5,7,6,7
bein,4,4,6,5,7
ben,4,4,4,5,7
bend,5,5,5,6,7
ber,5,6,4,6,8
berg,6,7,5,7,8
bern,5,6,5,6,8
bert,5,6,4,6,8
bhan,5,4,7,6,6
bin,4,4,4,4,7
bir,4,5,4,4,7
birch,3,5,5,4,5
born,5,5,4,6,8
brack,6,7,5,5,8
brad,5,5,5,6,8
bran,5,5,6,7,7
brand,6,6,5,7,8
bras,5,5,5,6,7
bray,4,4,5,5,6
brec,5,5,6,6,7
bred,5,5,5,6,7
bree,3,3,5,4,4
bren,4,4,5,6,7
briar,4,6,6,4,5
brick,5,7,4,5,8
brid,4,4,5,5,5
bryn,4,3,7,6,6
bul,6,7,5,5,8
bur,6,7,4,6,8
burn,5,5,4,6,7
butu,6,7,6,5,8
byr,5,6,5,6,7
ca,4,4,5,4,6
cad,6,6,6,6,8
cael,3,3,7,6,6
caen,4,4,7,6,7
cairn,5,6,7,5,7
cal,5,5,4,6,7
call,4,4,5,5,6
cam,5,5,5,5,8
can,5,5,4,5,8
car,6,6,4,7,8
carn,7,7,6,7,8
cas,5,5,5,5,8
cath,6,5,7,6,6
cav,5,5,5,6,7
cawn,4,4,7,5,6
ceann,5,4,8,7,7
ced,5,5,6,5,7
ceir,5,4,7,6,7
cell,4,4,6,4,6
cen,6,6,6,7,8
cer,5,5,6,6,7
cern,6,6,7,7,8
ch,6,7,5,5,8
chadh,6,6,8,6,8
char,5,6,5,5,7
chas,5,5,5,5,7
chod,6,6,7,6,8
chon,5,5,6,6,7
cid,5,5,5,5,7
cir,5,5,6,6,7
clad,6,6,6,6,8
claw,7,8,5,7,8
clay,4,7,4,3,6
cle,4,4,5,4,6
cliff,6,7,4,6,8
clis,4,4,6,5,6
cnoc,5,6,7,5,8
coch,6,6,8,6,8
coed,4,5,7,5,7
col,5,5,4,5,8
coll,4,5,5,5,7
cor,6,6,5,7,8
corb,7,7,6,7,8
corm,6,6,6,7,8
corn,5,5,5,5,7
crag,7,8,6,6,8
craig,6,7,6,7,8
cran,5,5,5,5,7
cree,4,4,6,4,5
creek,3,5,4,3,5
cron,6,6,6,6,8
cros,5,5,5,5,7
cul,6,6,5,6,8
culi,5,5,6,6,7
curr,5,5,5,5,7
da,4,4,4,4,6
dag,7,7,6,7,8
dail,4,3,6,5,5
dal,6,6,4,6,8
dale,4,4,4,3,6
dan,5,5,4,6,8
dar,6,6,5,7,8
dark,7,7,5,6,7
darr,6,6,5,7,8
das,5,5,5,5,7
dath,6,5,7,6,7
daun,5,5,6,6,7
daw,4,4,4,4,6
del,4,3,5,5,5
dell,4,5,5,3,6
den,4,5,4,4,7
der,5,6,4,6,8
dern,5,6,5,6,8
derw,5,5,7,7,8
dew,2,3,5,2,4
dhu,6,6,8,6,8
di,4,3,5,4,5
dif,5,4,6,5,7
dil,4,3,6,4,5
din,5,5,5,6,8
dir,5,4,6,6,7
dis,4,4,6,5,5
doch,6,6,7,6,8
don,6,6,5,7,8
dor,6,6,5,7,8
dorn,7,7,6,7,8
dov,4,4,5,5,6
dow,5,5,4,4,7
dros,4,4,7,5,6
drum,6,6,6,6,8
dun,6,7,5,7,8
dur,7,7,5,7,8
dwr,5,6,8,6,8
dy,4,4,6,5,6
dyn,5,4,7,7,7
eac,5,5,6,6,7
ead,4,4,5,5,6
eaft,4,4,6,5,6
eal,4,3,5,5,5
eall,4,3,6,6,6
ean,4,3,5,5,6
ear,5,4,5,6,7
earth,5,7,4,6,6
eas,4,3,5,4,5
eat,4,4,5,4,6
eath,4,4,6,5,5
eb,4,5,5,4,6
ec,5,6,5,5,7
ech,6,7,7,5,8
ed,4,4,4,4,6
edd,5,5,5,5,7
edge,4,5,4,4,6
edh,5,5,7,5,7
eft,4,4,5,4,6
egan,4,4,6,5,6
eh,4,4,5,4,5
eir,4,2,6,6,5
ek,6,7,5,5,8
el,3,3,4,4,5
eld,5,5,4,7,7
ell,3,3,5,4,5
elm,4,5,5,5,6
elt,5,6,5,5,7
em,4,4,4,5,6
en,4,4,3,4,6
enac,5,4,7,6,7
ent,5,6,6,7,7
er,5,5,3,5,7
erb,5,5,5,5,7
erc,6,6,6,6,8
erd,6,6,5,6,7
erg,6,7,5,6,8
erk,6,7,5,6,8
erl,5,5,5,6,7
erm,5,6,5,6,7
ern,5,6,4,6,7
ert,5,6,4,6,7
erw,4,5,6,6,7
ery,4,4,5,4,5
es,4,4,4,4,6
esc,5,5,6,5,7
esh,5,5,5,5,7
esk,5,6,6,5,7
est,5,5,4,5,7
et,5,5,4,4,7
eth,5,4,6,5,6
ew,4,4,5,4,6
ey,4,3,5,4,5
fa,4,4,5,4,6
fan,5,5,5,5,7
fang,8,8,6,7,8
far,5,5,4,6,7
farn,5,6,5,5,7
fas,5,5,5,5,7
fast,6,6,5,7,8
fath,5,5,6,6,7
fead,4,4,7,5,6
fean,4,4,6,5,6
fearn,5,5,7,6,7
fell,7,8,5,7,8
fen,5,7,5,4,7
fer,5,5,4,5,7
fern,2,5,5,2,4
fin,4,3,5,5,6
fir,5,6,4,6,8
firth,4,5,6,5,6
flint,6,8,5,6,8
flur,3,3,6,4,4
foch,5,6,7,5,7
fol,4,5,4,4,7
fon,5,5,5,5,7
for,6,6,4,7,8
ford,5,5,4,5,7
forn,6,6,5,6,8
fos,5,6,5,5,7
foss,4,6,5,4,6
fre,4,4,5,5,6
fron,5,5,6,6,7
ful,5,5,4,4,7
fur,5,7,4,5,7
fyrd,6,6,7,7,8
ga,5,5,5,5,7
gach,6,7,7,6,8
gael,4,4,7,6,7
gal,6,6,5,7,8
gall,5,5,5,6,7
gan,6,6,5,7,8
gar,7,7,5,8,8
gard,6,6,5,7,8
garn,6,7,5,7,8
garth,6,7,5,7,8
