middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ad,4,5,3,5,6
ae,3,3,4,4,4
ah,4,4,3,5,5
al,4,4,2,5,6
am,4,4,3,5,6
an,4,4,2,5,6
ar,5,5,3,6,7
as,4,4,3,5,6
at,5,5,3,6,7
av,4,3,4,5,5
ax,6,5,5,7,7
ay,3,3,4,4,5
ec,4,3,4,5,6
ed,5,5,3,6,7
ef,4,4,4,5,6
eh,4,4,3,5,5
el,3,3,3,4,5
em,4,4,3,5,6
en,4,4,2,5,6
er,4,4,3,5,6
es,4,3,3,5,5
et,4,4,3,5,6
ev,4,2,4,5,5
ex,6,4,5,7,7
ez,5,4,5,6,6
ia,2,2,5,3,3
ic,4,3,4,5,6
id,5,4,3,5,6
ig,5,5,4,6,7
ih,4,3,4,5,5
il,3,2,4,4,5
im,4,4,3,5,6
in,4,3,3,5,6
ir,4,3,4,5,6
is,4,3,3,5,5
it,5,4,3,6,7
iv,4,2,4,5,5
ix,5,3,6,6,6
od,5,5,3,6,7
og,6,6,4,7,8
oh,5,4,4,6,6
ol,5,5,3,6,7
om,5,5,3,6,7
on,5,5,3,6,7
or,6,5,3,7,8
os,5,5,3,6,7
ot,6,6,3,7,8
ov,5,4,4,6,6
ox,7,5,6,8,8
oz,6,5,6,7,7
ua,4,2,5,4,4
ub,6,6,4,7,8
uc,5,5,4,6,7
ud,6,6,4,7,8
uf,5,5,4,6,7
ug,7,7,4,8,9
uh,5,4,4,6,6
ul,6,5,4,6,7
um,6,5,4,7,7
un,5,4,3,6,7
ur,6,6,3,7,8
us,6,5,3,7,7
ut,6,6,3,7,8
uv,5,3,5,6,6
ux,7,5,7,8,8
uz,6,5,6,7,7
ab,5,5,3,6,7
eb,5,4,4,5,6
ib,5,4,4,5,6
ob,6,5,4,7,8
ub,6,6,4,7,8
ag,5,5,3,6,7
eg,5,5,4,6,7
ig,5,5,4,6,7
og,6,6,4,7,8
ug,7,7,4,8,9
ak,6,6,4,7,8
ek,5,5,4,6,7
ik,5,5,4,6,7
ok,6,6,4,7,8
uk,7,7,4,8,9
ap,5,5,3,6,7
ep,5,4,4,5,6
ip,5,4,4,5,6
op,6,5,4,7,8
up,6,6,4,7,8
aw,4,4,3,5,6
ew,4,3,4,5,5
ow,5,4,3,6,6
uw,5,4,4,6,6
ya,2,2,5,3,3
ye,3,2,4,4,4
yi,3,2,5,4,4
yo,4,3,4,5,5
yu,4,3,5,5,5
