prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Ad,3,5,4,6,6,1
Aeg,4,6,7,7,6,1
Ai,3,3,6,5,4,1
Ald,4,6,5,7,7,1
Alr,3,5,6,6,6,1
Am,3,4,5,5,5,1
Ar,3,5,5,6,6,1
Arn,4,6,5,7,7,1
Ask,4,7,6,7,7,1
Az,4,4,7,6,6,1
Azag,5,7,8,8,7,1
Bal,5,7,5,8,8,0
Bar,4,6,4,7,7,0
Bara,4,5,6,7,6,0
Bash,5,8,5,8,8,0
Bel,4,5,5,6,7,0
Ber,3,6,4,6,7,0
Bif,3,5,5,6,7,0
Bjor,4,7,6,7,7,0
Bo,3,5,3,6,7,0
Bod,4,6,4,7,7,0
Bol,4,6,4,7,7,0
Bom,4,6,4,7,7,0
Bor,4,6,4,7,7,0
Brag,4,7,5,7,8,0
Bram,4,6,5,7,7,0
Bran,4,6,5,7,7,0
Bras,4,6,5,7,7,0
Breg,4,7,6,7,8,0
Brog,5,8,5,8,8,0
Brok,4,7,6,7,8,0
Brom,4,6,5,7,7,0
Brunn,4,7,6,7,8,0
Bur,4,6,4,7,7,0
Char,4,6,5,7,7,0
Dag,4,7,5,7,8,0
Dai,3,4,6,6,5,0
Dain,4,5,6,7,7,0
Dal,4,6,4,7,7,0
Dam,4,6,4,7,7,0
Dar,4,6,4,7,7,0
Darf,4,7,6,7,8,0
Darg,5,7,6,8,8,0
Das,4,6,5,7,7,0
Dav,4,6,5,7,7,0
Dax,4,6,6,7,7,0
Del,3,5,5,6,6,0
Delv,4,6,6,7,7,0
Dig,4,7,5,7,7,0
Dir,4,6,5,7,7,0
Do,3,5,3,6,7,0
Dol,4,6,4,7,7,0
Dom,4,6,4,7,7,0
Don,4,6,4,7,7,0
Dor,4,6,4,7,7,0
Dori,3,5,6,6,6,0
Dral,4,7,6,7,8,0
Dram,4,6,6,7,7,0
Drar,4,7,6,7,8,0
Draug,5,7,7,8,8,0
Drok,5,8,6,8,8,0
Drom,4,6,6,7,7,0
Drun,4,7,6,7,8,0
Dul,4,6,5,7,7,0
Dum,4,6,4,7,7,0
Dur,4,6,5,7,7,0
Durin,4,6,6,7,7,0
Durk,5,7,6,8,8,0
Durn,4,7,6,7,8,0
Dval,4,6,7,7,7,0
Dver,4,6,7,7,7,0
Dw,4,6,5,7,7,0
Ed,3,5,4,6,6,1
Eg,4,6,5,7,7,1
Ei,3,3,6,5,4,1
El,3,4,5,5,5,1
Em,3,4,5,5,5,1
Er,3,5,5,6,6,1
Erin,3,4,6,5,4,1
Fal,4,6,5,7,7,0
Far,4,6,5,7,7,0
Fel,4,5,6,6,6,0
Feln,4,6,7,7,7,0
Fhar,4,6,6,7,7,0
Fili,3,4,6,6,6,0
Fin,3,5,5,6,6,0
Fir,3,6,5,6,7,0
Fjol,4,7,7,7,8,0
Flak,5,8,6,8,8,0
Flint,4,7,5,7,8,0
Floi,3,5,7,6,6,0
For,4,6,4,7,7,0
Frar,4,7,6,7,8,0
Fray,3,5,6,6,6,0
Frer,4,6,6,7,7,0
Frok,5,8,6,8,8,0
Fros,4,6,6,7,7,0
Fun,3,5,5,6,7,0
Fur,4,6,5,7,7,0
Gal,4,6,5,7,7,0
Gam,4,6,5,7,7,0
Gar,4,6,5,7,7,0
Gath,4,6,6,7,7,0
Gi,3,5,5,6,6,0
Gil,3,5,5,6,6,0
Gim,3,5,5,6,7,0
Gimb,4,6,6,7,7,0
Giml,4,6,6,7,7,0
Gir,4,6,5,7,7,0
Gl,4,7,5,7,7,0
Gla,4,6,5,7,7,0
Glag,5,8,6,8,8,0
Glam,4,6,6,7,7,0
Glar,4,7,6,7,8,0
Gle,3,5,5,6,6,0
Gli,3,5,6,6,6,0
Glin,3,5,6,6,6,0
Glo,4,6,5,7,7,0
Gloi,3,5,7,6,6,0
Gloin,4,6,7,7,7,0
Glor,4,6,6,7,7,0
Go,3,5,4,6,7,0
Gol,4,6,5,7,7,0
Gor,4,7,5,7,8,0
Gor,4,7,5,7,8,0
Goth,5,7,6,8,8,0
Gra,4,7,5,7,7,0
Grae,3,5,6,6,6,0
Gram,4,6,5,7,7,0
Gran,4,6,5,7,7,0
Grar,4,7,6,7,8,0
Grat,4,7,5,7,7,0
Gre,3,6,5,6,7,0
Grim,5,7,5,8,8,0
Gro,4,7,5,7,8,0
Grom,4,7,5,7,8,0
Gror,4,7,6,7,8,0
Gru,4,7,5,7,8,0
Grun,4,7,6,7,8,0
Grund,5,7,6,8,8,0
Gurg,5,8,6,8,8,0
Har,4,6,5,7,7,0
Helm,4,6,5,7,7,0
Hild,4,6,6,7,7,0
Hjal,4,7,7,7,8,0
Hjar,4,7,7,7,8,0
Hjor,4,7,7,7,8,0
Hog,4,7,5,7,8,0
Hol,4,6,5,7,7,0
Hor,4,6,5,7,7,0
Hral,4,7,7,7,8,0
Hrim,4,6,7,7,7,0
Hrun,4,7,7,7,8,0
Hurg,5,8,6,8,8,0
Ib,3,5,5,6,7,1
Id,3,5,5,6,6,1
Ig,4,6,5,7,7,1
In,3,5,5,6,6,1
Ing,4,6,5,7,7,1
Ir,3,5,5,6,6,1
Iron,4,6,4,7,7,1
Iv,3,5,5,6,6,1
Jar,4,6,5,7,7,0
Jor,4,6,5,7,7,0
Kag,5,8,6,8,8,0
Kal,4,6,5,7,7,0
Kar,4,6,5,7,7,0
Kaz,5,7,7,8,8,0
Khag,5,8,7,8,8,0
Khal,5,7,7,8,8,0
Khar,5,7,7,8,8,0
Khaz,5,7,8,8,8,0
Khi,4,6,7,7,7,0
Khil,4,6,7,7,7,0
Khim,4,6,7,7,7,0
Khur,5,7,7,8,8,0
Khuz,5,7,8,8,8,0
Kil,4,6,5,7,7,0
Kir,4,6,5,7,7,0
Kla,4,7,6,7,8,0
Kli,4,6,6,7,7,0
Klo,4,7,6,7,8,0
Ko,3,6,5,6,7,0
Kor,4,6,5,7,7,0
Kra,4,7,6,7,8,0
Krag,5,8,6,8,8,0
