middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ae,1,1,5,3,3
ah,2,1,4,3,3
al,2,2,3,3,4
am,2,2,3,3,4
an,2,2,2,3,4
ar,3,3,3,4,5
as,2,2,3,3,4
at,3,3,3,4,5
av,2,1,4,3,3
ay,1,1,4,2,2
ec,2,1,4,3,4
ed,3,3,3,4,5
ef,2,2,4,3,4
eh,2,1,4,3,3
el,1,1,3,2,3
em,2,2,3,3,4
en,2,2,2,3,4
er,2,2,3,3,4
es,2,1,3,3,3
et,2,2,3,3,4
ev,2,1,4,3,3
ex,3,2,5,4,4
ez,3,2,5,4,4
ia,1,1,5,2,2
ic,2,1,4,3,4
id,3,2,3,3,4
ig,3,3,4,4,5
ih,2,1,4,3,3
il,1,1,4,2,3
im,2,2,3,3,4
in,2,1,3,3,4
ir,2,1,4,3,4
is,2,1,3,3,3
it,3,2,3,4,5
iv,2,1,4,3,3
ix,3,1,5,4,4
od,3,3,3,4,5
og,4,4,4,5,6
oh,3,2,4,4,4
ol,3,3,3,4,5
om,3,3,3,4,5
on,3,3,3,4,5
or,3,3,3,4,5
os,3,3,3,4,5
ot,4,4,3,5,6
ov,3,2,4,4,4
ox,4,3,5,5,5
oz,4,3,5,5,5
ua,2,1,5,3,2
ub,4,4,4,5,6
uc,3,3,4,4,5
ud,4,4,4,5,6
uf,3,3,4,4,5
ug,5,5,4,6,7
uh,3,2,4,4,4
ul,4,3,4,4,5
um,4,3,4,5,5
un,3,2,3,4,5
ur,4,4,3,5,6
us,4,3,3,5,5
ut,4,4,3,5,6
uv,3,1,5,4,4
ux,5,3,6,6,6
uz,4,3,5,5,5
ab,3,3,3,4,5
eb,3,2,4,3,4
ib,3,2,4,3,4
ob,4,3,4,5,6
ub,4,4,4,5,6
ag,3,3,3,4,5
eg,3,3,4,4,5
ig,3,3,4,4,5
og,4,4,4,5,6
ug,5,5,4,6,7
ak,4,4,4,5,6
ek,3,3,4,4,5
ik,3,3,4,4,5
ok,4,4,4,5,6
uk,5,5,4,6,7
ap,3,3,3,4,5
ep,3,2,4,3,4
ip,3,2,4,3,4
op,4,3,4,5,6
up,4,4,4,5,6
aw,2,2,3,3,4
ew,2,1,4,3,3
ow,3,2,3,4,4
uw,3,2,4,4,4
ya,1,1,5,2,2
ye,1,1,4,2,2
yi,1,1,5,2,2
yo,2,1,4,3,3
yu,2,1,5,3,3
