prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
ae,2,1,8,3,3,1
ai,2,1,7,3,2,1
ao,3,2,9,4,4,1
aeg,2,2,8,5,5,1
ael,1,1,8,3,3,1
aen,2,1,7,4,4,1
aer,2,2,7,5,5,1
aes,1,1,8,3,4,1
aev,3,2,9,5,5,1
al,2,2,4,4,4,1
am,3,3,4,5,5,1
an,2,2,3,4,5,1
ar,3,3,4,5,6,1
as,2,2,4,4,5,1
ath,3,3,5,5,6,1
ava,2,1,7,3,2,1
aven,2,2,8,4,4,1
avor,3,3,8,5,6,1
az,3,2,6,5,5,1
ba,4,3,5,6,7,0
bae,3,2,7,5,6,0
bel,2,2,5,4,5,0
ca,3,2,4,5,6,0
cae,2,1,7,4,4,0
cal,3,2,5,5,6,0
ce,2,1,5,3,4,0
cea,2,1,6,3,3,0
cel,2,1,6,4,4,0
ci,2,1,5,3,3,0
cith,3,2,7,5,5,0
cyr,3,2,6,5,6,0
da,3,2,4,5,6,0
dae,2,1,7,4,4,0
dal,3,2,5,5,6,0
de,2,1,5,3,4,0
dea,2,1,6,3,3,0
del,2,1,6,4,4,0
di,2,1,5,3,3,0
dor,4,3,5,6,7,0
dra,4,3,6,6,7,0
dre,3,2,6,5,6,0
dreth,4,3,7,6,7,0
dry,3,2,6,5,5,0
dyr,4,3,7,6,7,0
e,1,1,4,2,3,1
ea,1,1,5,2,2,1
eag,2,2,7,4,5,1
eal,1,1,6,3,3,1
ean,2,1,5,3,4,1
ear,2,2,5,4,5,1
eas,1,1,6,3,4,1
eav,2,2,7,4,5,1
eb,3,2,5,4,5,1
ed,2,2,4,3,5,1
ef,2,1,5,3,4,1
eg,3,2,5,4,5,1
eh,1,1,5,2,3,1
ei,1,1,5,2,2,1
ej,2,2,6,3,4,1
ek,3,2,5,4,5,1
el,1,1,4,3,3,1
ela,1,1,5,3,2,1
eldr,3,2,7,5,5,1
ele,1,1,5,3,2,1
eler,2,2,6,4,4,1
eles,1,1,7,3,3,1
eleth,2,2,7,4,4,1
eli,1,1,5,3,2,1
elis,1,1,6,3,3,1
ell,2,2,5,4,4,1
elly,2,1,5,3,3,1
eln,2,2,6,4,4,1
elo,2,1,5,3,3,1
elor,3,2,6,5,5,1
elth,3,2,7,5,5,1
elv,2,2,7,4,4,1
em,2,2,4,3,4,1
en,1,1,3,3,4,1
end,2,2,4,4,5,1
enn,2,2,4,4,4,1
eo,2,1,6,3,3,1
eph,2,2,6,4,5,1
er,2,2,4,4,5,1
era,2,1,5,3,3,1
eran,3,2,6,5,5,1
ere,2,1,5,3,3,1
eres,2,1,6,4,4,1
eri,2,1,5,3,3,1
eris,2,1,6,4,4,1
ero,3,2,5,4,4,1
erth,3,3,6,5,6,1
es,1,1,4,3,4,1
esh,2,2,6,4,4,1
ess,2,1,5,3,3,1
est,2,2,5,4,5,1
eth,2,2,5,4,5,1
ethr,3,3,7,5,6,1
ev,2,1,5,3,4,1
ey,1,1,5,2,3,1
eyr,2,2,7,4,5,1
fa,3,2,5,4,5,0
fae,2,1,8,3,3,0
fal,3,2,6,5,5,0
fe,2,1,5,3,3,0
fea,2,1,7,3,2,0
fel,2,1,6,4,4,0
fi,2,1,5,3,3,0
fir,3,2,6,5,5,0
ga,4,3,4,6,7,0
gae,3,2,7,5,6,0
gal,4,3,5,6,7,0
gil,3,2,5,5,6,0
gla,4,4,6,6,7,0
gle,3,3,6,5,6,0
gli,3,2,6,5,5,0
ha,3,2,4,5,6,0
hae,2,1,7,4,4,0
hal,3,2,5,5,6,0
i,1,1,4,2,2,1
ia,1,1,5,2,2,1
iag,2,2,7,4,4,1
ial,1,1,6,3,2,1
ian,2,1,5,3,3,1
iar,2,2,5,4,4,1
ias,1,1,6,3,3,1
iav,2,2,7,4,4,1
il,2,1,4,3,3,1
ill,3,2,5,4,4,1
im,2,2,4,3,4,1
in,1,1,3,3,3,1
ir,2,2,4,4,4,1
is,1,1,4,3,3,1
ith,2,2,5,4,4,1
iv,2,1,5,3,3,1
ka,4,3,5,6,7,0
kae,3,2,8,5,6,0
kal,4,3,6,6,7,0
ke,3,2,6,4,5,0
kea,3,2,7,4,4,0
kel,3,2,6,5,6,0
ki,3,2,5,4,4,0
kir,4,3,6,6,6,0
ky,3,2,6,5,5,0
kyr,4,3,7,6,6,0
la,2,1,4,3,3,0
lae,2,1,7,3,2,0
lal,2,1,5,4,3,0
le,1,1,4,2,2,0
lea,1,1,5,2,1,0
lel,1,1,5,3,2,0
li,1,1,4,2,2,0
lir,2,2,5,4,3,0
lo,2,1,4,3,3,0
lu,2,1,4,3,3,0
ly,1,1,5,3,2,0
lyr,2,2,6,4,3,0
ma,3,2,3,5,5,0
mae,2,1,6,4,3,0
mal,3,2,4,5,5,0
me,2,1,3,3,3,0
mea,2,1,5,3,2,0
mel,2,1,4,4,3,0
mi,2,1,3,3,2,0
mir,3,2,4,5,4,0
mo,3,2,3,4,4,0
mor,4,3,4,6,6,0
mu,3,2,4,4,4,0
my,2,1,4,3,3,0
myr,3,2,5,5,4,0
na,2,1,3,4,4,0
nae,2,1,6,3,2,0
nal,2,1,4,4,4,0
ne,1,1,3,2,2,0
nea,1,1,5,2,1,0
nel,1,1,4,3,2,0
ni,1,1,3,2,1,0
nir,2,2,4,4,3,0
no,2,1,3,3,3,0
nor,3,2,4,5,5,0
nu,2,1,4,3,3,0
ny,1,1,4,2,2,0
nyl,2,1,5,3,3,0
nyr,2,2,5,4,3,0
o,2,1,4,3,4,1
oe,2,1,5,3,3,1
ol,3,2,4,4,5,1
on,2,2,3,4,5,1
or,3,2,4,5,6,1
os,2,2,4,4,5,1
ow,2,1,5,3,4,1
pa,3,2,4,5,6,0
pae,2,1,7,4,4,0
pal,3,2,5,5,6,0
pe,2,1,4,3,4,0
pea,2,1,6,3,3,0
pel,2,1,5,4,4,0
pi,2,1,4,3,3,0
pir,3,2,5,5,5,0
py,2,1,5,3,4,0
pyr,3,2,6,5,5,0
qa,3,2,6,5,6,0
qae,2,1,8,4,4,0
qal,3,2,7,5,6,0
qe,2,1,6,3,4,0
qea,2,1,7,3,3,0
qel,2,1,7,4,4,0
qi,2,1,6,3,3,0
qir,3,2,7,5,5,0
qy,2,1,7,3,4,0
qyr,3,2,8,5,5,0
ra,3,2,4,5,5,0
rae,2,1,7,4,3,0
ral,3,2,5,5,5,0
re,2,1,4,3,3,0
rea,2,1,5,3,2,0
rel,2,1,5,4,3,0
ri,2,1,4,3,2,0
ria,2,1,5,3,2,0
ril,2,1,5,4,3,0
ris,2,1,5,4,3,0
ro,3,2,4,4,4,0
ru,3,2,4,4,4,0
ry,2,1,5,3,3,0
ryn,3,2,6,4,4,0
rys,3,2,6,4,4,0
sa,3,2,4,4,5,0
sae,2,1,7,3,3,0
sal,3,2,5,4,5,0
se,2,1,4,3,3,0
sea,2,1,5,3,2,0
sel,2,1,5,3,3,0
sele,2,1,6,3,2,0
seren,2,1,7,4,3,0
seris,2,1,7,4,3,0
sha,3,2,5,4,4,0
shae,2,1,7,3,3,0
si,2,1,4,3,3,0
sil,2,1,5,3,3,0
silv,3,2,6,4,4,0
so,3,2,4,4,4,0
sol,3,2,5,5,5,0
sy,2,1,5,3,3,0
syl,2,1,6,3,3,0
sylv,3,2,7,4,4,0
ta,3,2,4,5,5,0
tae,2,1,7,4,3,0
tal,3,2,5,5,5,0
te,2,1,4,3,3,0
tea,2,1,5,3,2,0
tel,2,1,5,4,3,0
tha,3,2,5,5,5,0
thae,2,1,8,4,3,0
thal,3,2,6,5,5,0
the,2,1,5,4,4,0
thea,2,1,6,4,3,0
