prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Ae,1,1,7,3,1,1
Aer,1,1,7,4,2,1
Aeth,2,1,8,5,3,1
Ai,1,1,7,2,1,1
Ala,1,1,6,3,1,1
Alu,2,1,6,3,2,1
Ama,2,1,5,4,2,1
Amn,3,2,7,4,4,1
Ana,1,1,5,3,1,1
Ani,1,1,5,3,1,1
Ara,2,1,6,4,3,1
Ari,1,1,6,4,2,1
Asha,2,2,5,5,3,1
Ashae,2,1,7,5,2,1
Ast,3,1,6,6,4,1
Astra,2,1,6,6,3,1
Avi,2,1,6,3,2,1
Aya,1,1,6,2,1,1
Aza,3,2,7,5,3,1
Azal,4,2,7,5,4,1
Bri,3,3,4,4,4,0
Bria,2,2,5,4,2,0
Bry,2,2,5,4,3,0
Brynn,3,2,5,5,4,0
Cae,2,1,7,4,3,0
Cael,1,1,7,4,2,0
Cas,3,2,6,5,5,0
Cass,2,2,5,4,3,0
Cel,1,1,6,3,2,0
Cela,1,1,6,3,1,0
Ceru,2,1,7,4,3,0
Cha,4,3,5,5,4,0
Chan,3,2,5,4,4,0
Cora,3,2,5,5,3,0
Corl,4,3,6,5,5,0
Cy,3,1,6,4,3,0
Cyn,4,2,6,5,4,0
Da,3,2,4,3,3,0
Dae,2,1,7,4,3,0
Dal,4,3,4,5,6,0
Dala,3,2,5,4,3,0
Dar,4,3,5,6,6,0
Dari,3,2,6,5,4,0
Del,2,1,5,3,3,0
Dela,1,1,5,3,2,0
Deli,1,1,6,3,1,0
Dia,1,1,6,4,1,0
Dra,5,4,6,7,6,0
Dry,5,4,6,6,5,0
Drya,4,3,7,6,4,0
Eil,1,1,7,3,1,1
Ela,1,1,6,3,1,1
Elen,1,1,5,4,2,1
Eli,1,1,5,3,2,1
Elia,1,1,6,3,1,1
Elo,1,1,6,4,2,1
Elu,1,1,6,3,2,1
Elv,2,1,7,5,3,1
Ely,1,1,7,4,2,1
Ena,1,1,5,2,1,1
Era,2,1,6,4,2,1
Eri,2,1,6,4,3,1
Eryn,2,1,6,4,3,1
Ess,2,1,5,3,3,1
Essa,1,1,6,3,1,1
Eve,1,1,5,3,2,1
Evo,2,2,6,4,4,1
Fa,2,1,6,3,2,0
Fae,1,1,8,4,1,0
Fal,3,2,5,4,5,0
Fara,2,1,6,4,2,0
Fay,1,1,7,3,1,0
Fayl,2,1,8,4,2,0
Fel,3,2,5,5,5,0
Fen,4,4,5,4,6,0
Fenn,3,3,4,4,5,0
Fi,1,1,6,2,1,0
Fia,1,1,6,2,1,0
Fil,2,2,5,3,4,0
Fila,1,1,6,3,2,0
Fin,3,2,4,4,5,0
Flo,1,1,4,3,1,0
Flor,1,1,4,3,1,0
Flu,2,2,5,3,4,0
Fly,2,2,6,3,3,0
Fyr,4,3,7,6,6,0
Fyx,5,3,8,5,5,0
Gae,2,1,7,4,3,0
Gael,1,1,7,5,3,0
Gal,3,2,5,5,5,0
Gala,2,1,6,5,2,0
Gayl,2,1,6,4,2,0
Gem,2,1,5,5,3,0
Gla,3,2,6,5,5,0
Glyn,3,2,6,4,4,0
Gra,4,4,5,5,6,0
Gral,5,5,6,6,7,0
Gwy,2,1,8,5,3,0
Gwyn,1,1,7,4,2,0
Hae,2,1,6,3,2,0
Hal,3,3,4,5,6,0
Han,4,3,4,5,6,0
Hel,4,2,5,5,4,0
Hela,3,1,6,4,3,0
Hyl,3,1,7,4,3,0
Ia,1,1,7,2,1,1
Ial,2,1,7,3,2,1
Ian,3,1,6,4,5,1
Idr,3,1,7,5,4,1
Idri,2,1,8,4,2,1
Ila,1,1,7,3,1,1
Ile,1,1,7,3,2,1
Ili,1,1,7,3,1,1
Illa,1,1,7,3,1,1
Ilo,2,2,7,4,4,1
Ilu,2,1,7,4,3,1
Ily,1,1,8,3,1,1
Im,3,2,6,4,5,1
Ina,1,1,5,3,1,1
Ini,1,1,6,3,1,1
Io,2,1,8,4,2,1
Ir,3,2,6,5,5,1
Ira,2,1,6,4,2,1
Is,2,1,6,3,3,1
Isa,1,1,5,3,1,1
Ish,3,2,6,4,4,1
Isi,1,1,7,3,1,1
Isil,1,1,8,4,2,1
Ist,4,2,6,5,5,1
Ith,3,1,7,5,4,1
Ivo,3,1,7,4,3,1
Ix,4,2,8,5,4,1
Ixi,3,1,9,4,2,1
Jas,2,1,5,4,2,0
Jasp,3,1,6,5,4,0
Jor,4,3,5,5,6,0
Juni,2,2,4,3,2,0
Ka,4,3,5,4,4,0
Kae,3,1,7,5,3,0
Kai,3,2,6,5,5,0
Kal,4,3,6,6,6,0
Kel,3,2,5,4,5,0
Ken,4,3,4,5,6,0
Keth,5,3,7,5,5,0
Kha,6,4,8,6,6,0
Ki,3,2,6,3,2,0
Kia,2,1,6,3,1,0
Kil,5,4,5,6,6,0
Kin,4,3,5,4,5,0
Kir,4,3,6,5,5,0
Kith,5,4,7,5,5,0
Kyla,3,2,6,4,2,0
Kyra,4,2,6,5,3,0
La,1,1,4,2,1,0
Lae,1,1,7,3,1,0
Lal,2,2,5,3,3,0
Lana,1,1,4,3,1,0
Lar,3,3,4,5,6,0
Las,3,2,5,4,5,0
Lau,2,1,5,4,3,0
Lea,1,1,5,2,1,0
Lei,1,1,6,3,1,0
Len,3,2,4,4,5,0
Leys,2,1,7,4,3,0
Li,1,1,6,2,1,0
Lia,1,1,6,2,1,0
Lil,1,1,5,2,1,0
Lila,1,1,5,2,1,0
Lin,2,1,5,3,3,0
Lis,2,1,5,3,2,0
Liss,1,1,6,3,1,0
Lo,2,2,5,3,3,0
Lor,3,2,5,5,5,0
Lu,2,1,6,3,2,0
Lua,1,1,7,3,1,0
Lue,1,1,7,3,1,0
Lui,1,1,7,3,1,0
Lun,2,1,6,5,2,0
Luna,1,1,5,4,1,0
Lus,3,2,6,4,4,0
Lux,3,1,7,6,4,0
Ly,1,1,7,3,1,0
Lya,1,1,7,2,1,0
Lye,1,1,7,2,1,0
Lyl,1,1,7,3,1,0
Lyn,2,1,6,3,2,0
Lys,1,1,7,4,1,0
Ma,3,2,4,3,3,0
Mae,2,1,6,4,2,0
Mael,4,3,7,6,5,0
Mal,5,4,6,6,6,0
Mar,4,3,4,5,6,0
Mari,2,1,4,4,2,0
Mei,1,1,6,3,1,0
Mel,2,1,5,4,3,0
Mela,1,1,5,3,1,0
Mer,3,2,5,5,5,0
Meri,2,1,5,4,3,0
Mi,2,2,5,2,2,0
Mia,1,1,5,2,1,0
Mil,2,2,4,3,4,0
Min,3,2,4,3,4,0
Mir,2,1,6,5,4,0
Mira,1,1,6,4,1,0
Mist,3,1,6,4,3,0
Mith,3,1,7,5,4,0
Miu,2,1,7,3,1,0
Mo,3,2,5,4,4,0
Mor,5,4,6,6,6,0
Mora,4,3,6,5,3,0
Moth,4,3,6,2,4,0
Myr,3,1,7,5,3,0
Myra,2,1,7,4,2,0
Myth,4,2,7,5,4,0
Nae,1,1,6,3,1,0
Nai,2,1,7,4,2,0
Nal,3,2,5,4,5,0
Nan,3,3,4,4,5,0
Nar,4,3,5,5,6,0
Ne,2,1,5,2,2,0
Nea,1,1,6,2,1,0
Nel,2,1,5,4,3,0
Nessa,1,1,6,4,1,0
Ni,2,1,6,3,2,0
Nia,1,1,6,2,1,0
Nil,3,1,6,4,4,0
Nim,1,1,7,4,2,0
Nin,2,1,6,3,3,0
Nir,3,1,7,5,5,0
Nis,3,2,6,4,4,0
Nix,5,2,8,5,4,0
No,3,2,5,3,4,0
Nol,4,2,6,5,5,0
Nor,4,3,5,5,6,0
Nox,6,3,8,6,6,0
Nu,2,1,6,3,3,0
Nya,1,1,7,2,1,0
Nye,1,1,7,2,1,0
Nyl,2,1,7,4,3,0
Nym,2,1,8,4,2,0
Nyx,5,2,8,6,4,0
Oa,3,2,6,4,4,1
Oae,3,1,8,4,3,1
Oda,4,3,5,5,4,1
Ole,3,2,5,4,4,1
Oli,2,1,5,4,3,1
Ona,2,1,5,3,2,1
Ori,3,1,6,5,4,1
Oria,2,1,7,4,2,1
Os,3,2,5,4,5,1
Osa,2,1,6,3,3,1
Oui,2,1,8,3,2,1
Owa,3,2,6,4,4,1
Owyn,2,1,7,5,3,1
Pae,1,1,7,3,1,0
Pai,2,1,7,3,2,0
Par,3,3,4,5,6,0
Pel,3,2,5,4,5,0
Per,3,2,5,5,6,0
Peri,2,1,6,4,3,0
Pet,2,2,4,2,2,0
Pha,3,1,7,5,4,0
Phae,2,1,8,5,2,0
Phil,2,2,5,4,5,0
Phin,3,2,6,4,5,0
Phlox,4,2,8,4,4,0
Pho,3,1,7,5,4,0
Phy,2,1,8,4,3,0
Pix,1,1,8,3,1,0
Pyr,4,3,7,6,6,0
Pyx,4,2,8,5,4,0
Qi,3,1,9,4,3,0
Qia,2,1,9,3,1,0
Qin,4,2,8,5,4,0
Qu,4,2,7,4,4,0
Qua,4,2,7,4,3,0
Que,3,1,7,5,3,0
Quel,2,1,8,5,2,0
Quen,2,1,7,4,3,0
Qui,2,1,8,3,2,0
Quil,2,1,7,4,2,0
Quy,3,1,9,4,3,0
Rae,1,1,7,4,1,0
Rai,2,1,7,4,2,0
Ral,4,3,5,5,6,0
Ran,4,3,5,5,6,0
Re,2,1,5,3,3,0
Rea,1,1,6,3,1,0
Rel,3,1,6,4,4,0
Ren,3,2,5,4,5,0
Rha,4,3,7,6,5,0
Rhae,3,1,8,6,3,0
Rhe,3,1,7,5,4,0
Rhi,2,1,7,5,2,0
Rho,4,2,7,5,5,0
Rhy,3,1,8,5,4,0
Ri,2,1,6,3,2,0
Ria,1,1,6,2,1,0
Ril,3,1,6,4,4,0
Rin,2,1,6,3,3,0
Ro,3,2,5,4,5,0
Ros,2,1,5,4,2,0
Row,3,2,4,4,4,0
Ru,3,2,6,4,5,0
Rua,2,1,7,3,2,0
Rue,2,1,6,3,2,0
Ryl,3,1,8,5,4,0
Ryn,2,1,7,4,3,0
Sae,1,1,7,4,1,0
Sai,2,1,7,4,2,0
Sal,3,2,5,5,5,0
San,4,3,5,5,6,0
Sar,4,3,6,6,6,0
Se,1,1,5,2,2,0
Sea,1,1,6,3,1,0
Sel,1,1,6,4,2,0
Sha,3,2,6,5,4,0
Shae,2,1,7,5,2,0
She,1,1,6,3,1,0
Shi,2,1,7,4,2,0
Sho,3,2,6,4,4,0
Shy,2,1,7,2,1,0
Si,1,1,6,2,2,0
Sia,1,1,7,2,1,0
Sil,1,1,7,4,2,0
Sim,2,2,5,3,4,0
Sin,4,3,6,5,5,0
Sir,3,2,6,5,6,0
Ska,5,5,6,5,6,0
Ske,5,5,6,4,5,0
Ski,4,4,7,4,4,0
Sky,2,1,6,5,4,0
So,2,1,6,4,3,0
Sol,2,1,6,6,5,0
Sor,4,3,6,5,6,0
Spi,4,3,7,4,4,0
Spri,3,2,7,4,3,0
Stel,2,1,7,5,4,0
Sum,3,3,4,4,5,0
Syl,1,1,7,4,2,0
Sym,2,1,8,4,3,0
Syn,3,1,8,5,4,0
Syr,4,1,8,5,4,0
Ta,3,2,5,3,3,0
Tae,2,1,7,4,2,0
Tai,3,1,7,4,3,0
Tal,4,3,5,5,6,0
Tan,4,3,5,5,6,0
Tar,5,4,5,6,7,0
Te,2,1,5,2,3,0
Tea,1,1,6,2,1,0
Tel,3,1,6,4,5,0
Tha,3,1,7,5,4,0
Thae,2,1,8,5,2,0
The,2,1,6,4,3,0
Thi,2,1,7,4,2,0
Thia,1,1,8,4,1,0
Tho,4,2,6,5,6,0
Thr,5,4,7,6,6,0
Thy,3,1,7,5,4,0
Ti,1,1,6,2,1,0
Tia,1,1,6,2,1,0
Til,3,2,5,3,4,0
Tin,3,1,6,4,4,0
Tir,4,1,6,5,5,0
To,3,2,5,4,5,0
Tor,5,4,5,6,7,0
Try,4,3,6,5,5,0
Twi,2,1,7,3,2,0
Tyl,3,2,6,4,4,0
Tyr,5,3,7,6,6,0
Ula,3,2,7,4,3,1
Uma,4,2,6,5,4,1
Una,2,1,6,4,2,1
Uni,2,1,7,5,3,1
Uri,4,2,7,5,5,1
Uvi,3,2,8,4,4,1
Va,3,1,6,4,3,0
Vae,2,1,8,5,2,0
Val,3,1,6,5,5,0
Van,4,2,5,5,6,0
Var,5,3,6,6,7,0
Ve,2,1,6,3,3,0
Vea,1,1,7,3,1,0
Vel,2,1,6,4,4,0
Ver,3,1,6,5,5,0
Vey,2,1,8,4,2,0
Vi,2,1,6,3,1,0
Via,1,1,7,3,1,0
Vil,5,4,6,5,5,0
Vin,4,2,6,5,6,0
Vir,3,1,6,5,5,0
Viv,1,1,6,4,1,0
Vo,4,2,6,5,6,0
Vor,5,3,7,6,7,0
Vyl,4,1,8,5,3,0
Vyn,3,1,8,5,4,0
Wae,2,1,7,4,2,0
Wen,2,1,5,3,3,0
Wil,3,3,4,4,5,0
Win,3,1,5,5,5,0
Wis,3,1,6,4,4,0
Wisp,2,1,7,2,2,0
Wren,3,2,6,3,3,0
Wy,2,1,7,4,3,0
Wyn,1,1,7,4,2,0
Xa,5,2,8,5,4,0
Xae,4,1,9,5,2,0
Xan,4,2,7,6,5,0
Xel,4,1,8,5,4,0
Xen,3,1,8,5,4,0
Xi,3,1,8,4,2,0
Xia,2,1,9,4,1,0
Xil,3,1,8,4,3,0
Xin,4,1,8,5,4,0
Xy,4,2,9,5,4,0
Xyl,3,1,9,4,2,0
Xyr,5,1,9,6,4,0
Ya,2,1,6,3,2,1
Yae,1,1,7,3,1,1
Yar,4,3,6,5,6,1
Yav,3,2,7,5,4,1
Ye,2,1,6,2,2,1
Yel,2,1,6,4,3,1
Yen,3,1,6,4,4,1
Yi,2,1,7,3,2,1
Yl,2,1,7,4,2,1
Yla,1,1,8,3,1,1
Yn,3,1,7,4,4,1
Yo,3,2,6,4,4,1
Ysa,1,1,7,4,1,1
Yse,1,1,7,4,1,1
Za,4,2,7,5,4,0
Zae,3,1,8,5,2,0
Zan,5,3,7,6,6,0
Ze,3,1,7,4,3,0
Zea,2,1,8,4,1,0
Zel,3,1,7,5,4,0
Zen,2,1,7,5,4,0
Zi,3,1,8,4,2,0
Zia,2,1,8,3,1,0
Zil,4,2,8,5,4,0
Zo,4,2,7,5,5,0
Zoe,2,1,6,4,1,0
Zyl,4,1,9,5,3,0
Zyr,5,1,9,6,4,0
Glim,1,1,7,4,3,0
Flick,3,3,7,2,4,0
Goss,2,2,6,1,3,0
Shimm,1,1,7,4,2,0
Spin,3,3,6,3,4,0
Thist,4,3,6,2,4,0
Weav,3,2,6,4,4,0
Whis,2,1,7,2,3,0
Grug,7,8,4,5,8,0
Skarn,6,7,5,6,7,0
Varg,7,6,6,7,8,0
Le,2,2,4,2,3,0
Mi,2,2,4,2,3,0
Ren,3,2,4,4,5,0
