suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
a,1,1,3,1,1
ae,1,1,7,2,1
ael,1,1,8,4,1
aela,1,1,8,3,1
aen,2,1,7,3,2
aer,2,1,7,4,3
aes,3,1,7,4,3
aess,2,1,8,4,2
ai,1,1,7,2,1
aia,1,1,8,2,1
al,3,2,4,4,5
ala,1,1,6,3,1
ale,1,1,6,3,2
ali,1,1,7,3,1
alia,1,1,8,3,1
alis,2,1,7,3,2
an,3,3,4,4,5
ana,1,1,5,3,1
ani,1,1,6,3,1
ar,4,3,4,5,6
ara,2,1,6,4,2
ari,1,1,6,4,2
aria,1,1,7,4,1
aris,2,1,7,4,2
arn,4,4,5,5,6
as,3,2,4,3,4
ash,6,5,5,5,5
assa,1,1,7,3,1
ath,4,2,6,5,5
ave,1,1,6,3,2
avel,1,1,7,4,2
awi,1,1,8,2,1
ax,6,4,7,6,6
aya,1,1,7,2,1
ayne,2,1,7,4,2
az,5,3,7,5,5
azi,4,2,8,4,3
byss,7,3,7,6,5
ce,2,1,5,3,3
ci,2,1,6,2,2
cia,1,1,7,2,1
crag,7,7,5,6,7
da,2,2,4,2,2
dar,5,4,6,6,6
dark,8,6,5,6,6
del,1,1,6,3,2
dell,2,2,5,3,3
den,3,3,4,4,5
der,4,4,4,5,6
di,2,1,6,2,2
dia,1,1,7,2,1
dil,1,1,7,3,2
din,4,3,5,5,6
dir,4,2,6,5,6
dis,3,1,6,4,3
dith,4,2,7,4,4
dor,5,4,6,6,7
dorn,6,5,6,6,7
dred,8,6,6,7,7
dri,3,2,7,4,3
dria,2,1,8,4,1
driel,1,1,8,5,2
dril,2,1,8,4,2
dris,3,1,7,5,3
dusk,6,3,5,5,5
dyl,2,1,7,4,2
dyn,3,1,7,5,4
ea,1,1,6,2,1
ean,2,1,6,3,3
ear,3,2,6,4,4
eath,5,3,7,5,5
ebris,4,2,8,5,4
el,1,1,6,3,2
ela,1,1,6,3,1
ele,1,1,6,3,1
elis,1,1,7,4,1
elle,1,1,6,3,1
elm,3,3,5,4,5
en,3,2,4,3,4
ena,1,1,5,2,1
ene,1,1,6,2,1
eni,1,1,6,2,1
er,3,3,4,4,5
era,2,1,6,3,2
eri,2,1,6,3,2
eria,1,1,7,4,1
eris,2,1,7,4,2
ern,4,3,5,5,6
es,3,1,5,3,3
esa,2,1,6,2,2
esi,1,1,7,2,1
ess,2,1,6,3,2
essa,1,1,7,3,1
est,4,2,5,4,5
estra,2,1,7,5,2
et,3,2,4,2,4
eth,3,1,7,5,3
etha,2,1,7,4,2
eve,1,1,6,3,2
even,1,1,6,4,3
evar,4,3,7,6,6
ew,2,2,5,2,3
ex,5,2,7,5,5
ey,2,1,6,2,2
eya,1,1,7,2,1
fae,1,1,8,4,1
fal,3,2,5,4,5
fan,4,3,5,5,6
far,4,3,5,5,6
fara,2,1,7,4,2
fay,1,1,7,3,1
fel,4,3,5,5,5
fen,5,5,5,4,6
fer,4,4,5,5,6
fi,1,1,7,2,1
fia,1,1,7,2,1
fiel,1,1,8,4,1
fin,3,2,5,4,5
fir,4,3,5,5,6
fira,3,1,7,4,2
fist,8,8,4,7,8
fix,5,3,8,4,5
flyn,3,2,8,4,4
fyr,5,3,8,6,6
gale,3,3,5,4,4
gan,5,4,5,6,7
gar,6,5,5,7,7
gath,7,6,6,6,7
gen,4,3,5,4,5
ger,5,4,5,5,6
gil,3,2,6,5,5
gloom,7,4,6,5,6
gor,6,5,6,7,7
gorn,7,6,6,7,8
goss,3,2,7,1,3
goth,7,5,7,6,7
gra,5,5,5,6,7
gren,6,5,6,6,7
gris,5,4,7,5,5
