middle,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
ag,6,8,5,7,8
ak,6,8,5,7,8
akh,7,9,7,8,9
al,5,6,4,6,6
am,5,6,4,6,6
ang,6,8,6,7,8
ar,5,7,4,6,7
ark,6,8,5,7,8
arm,6,7,5,7,7
arn,6,7,5,6,7
ash,6,7,5,7,7
az,6,7,6,7,7
azk,7,8,7,8,8
bag,6,8,5,7,8
bak,6,8,5,7,8
bal,6,7,5,7,7
bar,6,7,4,7,7
bash,6,8,5,7,8
baz,6,8,6,7,8
bla,6,7,4,7,7
bol,5,7,4,6,7
bor,5,7,5,7,7
brak,7,8,6,8,8
brug,7,9,7,8,9
bruk,7,9,6,8,9
bul,6,7,5,7,7
bur,6,7,5,7,7
dak,6,8,5,7,8
dal,5,7,4,6,7
dar,6,7,5,7,7
darg,7,8,6,8,8
desh,6,7,6,7,7
dom,6,7,5,7,7
dor,5,7,4,6,7
drak,7,8,6,8,8
drog,7,8,6,8,8
drom,6,7,6,7,7
dru,6,8,6,7,8
drug,7,9,6,8,9
druk,7,9,6,8,9
drum,6,8,5,7,8
dug,6,8,5,7,8
dul,5,7,5,6,7
dur,6,7,5,7,7
fang,6,8,5,8,8
far,5,7,4,6,7
fel,6,7,6,7,7
fik,6,7,6,7,7
frag,7,8,6,8,8
frak,7,8,6,8,8
fug,6,8,6,7,8
ful,5,7,5,6,7
fur,5,7,4,6,7
gak,7,8,7,8,8
gal,5,7,4,6,7
gam,5,7,4,6,7
gar,6,8,5,7,8
gash,7,8,6,8,8
gaz,6,8,6,7,8
ghaz,7,8,7,8,8
ghor,6,8,6,7,8
ghul,7,8,7,8,8
gnog,7,9,7,8,9
gol,5,7,4,6,7
gor,6,8,5,7,8
gorg,7,9,6,8,9
grak,7,9,6,8,9
gram,5,7,5,6,7
grim,6,7,4,7,7
grom,6,8,6,7,8
grug,7,9,6,8,9
gruk,7,9,6,8,9
grul,7,8,6,8,8
gug,6,8,5,7,8
gul,6,8,6,7,8
gurg,7,8,6,8,8
guz,6,8,6,7,8
hak,6,8,5,7,8
har,5,7,5,7,7
hek,5,7,5,6,7
hrak,7,8,7,8,8
hulk,6,7,5,7,7
ig,5,7,5,6,7
ik,5,7,5,6,7
irg,6,7,6,7,7
jak,6,8,5,7,8
jam,5,6,5,6,6
jar,5,7,5,6,7
jax,6,8,6,7,8
jek,5,7,5,6,7
jor,5,7,5,6,7
kag,7,8,7,8,8
kak,7,8,6,8,8
kal,5,7,5,6,7
kar,6,8,5,7,8
kaz,7,8,7,8,8
kha,6,8,7,7,8
khar,7,8,7,8,8
kil,6,7,4,7,7
kla,6,8,6,7,8
klag,7,9,6,8,9
krak,7,9,6,8,9
kram,6,8,6,7,8
krog,7,8,6,8,8
krul,7,8,6,8,8
krum,6,8,6,7,8
kug,7,8,6,8,8
kul,6,8,5,7,8
kur,6,8,5,7,8
lag,5,8,5,6,8
lak,5,7,5,6,7
log,5,7,4,6,7
lok,5,7,5,6,7
lug,6,8,5,7,8
luk,6,8,5,7,8
mag,6,8,5,7,8
mak,6,8,5,7,8
mal,5,7,4,6,7
mar,5,7,4,6,7
mog,6,8,6,7,8
mok,6,8,6,7,8
mor,5,7,4,6,7
mug,6,8,5,7,8
muk,6,8,5,7,8
nag,5,8,5,6,8
nak,5,7,5,6,7
nar,5,7,5,6,7
nog,5,7,5,6,7
nok,5,7,5,6,7
nus,5,7,5,6,7
og,6,9,5,7,9
ok,6,8,5,7,8
or,5,7,4,6,7
ork,7,8,5,8,8
osh,6,7,5,7,7
rag,6,8,5,7,8
rak,6,8,5,7,8
ram,5,7,4,6,7
rash,6,8,5,7,8
rath,6,8,6,7,8
rek,5,7,4,6,7
rip,6,8,4,8,8
rok,6,8,5,7,8
rot,6,8,5,7,8
rug,6,8,5,7,8
ruk,6,8,5,7,8
rum,5,7,5,6,7
sag,5,7,5,6,7
sak,5,7,5,6,7
sar,5,7,5,6,7
shak,6,8,5,7,8
skar,6,8,6,7,8
skul,7,8,5,8,8
slag,6,9,5,7,9
slog,5,8,5,6,8
smak,6,8,5,7,8
smug,5,7,5,6,7
snag,5,8,5,6,8
snak,5,8,5,6,8
stag,5,7,5,6,7
stig,5,7,5,6,7
suk,5,7,5,6,7
tag,5,7,5,6,7
tak,5,7,5,6,7
targ,6,8,6,7,8
thak,6,8,6,7,8
thor,5,7,4,7,7
thug,7,9,5,8,9
thul,6,8,6,7,8
tor,5,7,5,7,7
trak,6,8,6,7,8
tuk,6,8,6,7,8
ug,7,9,5,8,9
uk,6,8,5,7,8
ul,5,7,5,6,7
ur,5,7,5,6,7
urk,7,8,6,8,8
uz,6,7,6,7,7
vak,5,7,6,6,7
varg,6,7,6,7,7
vaz,5,7,7,6,7
vor,5,7,6,6,7
wak,5,7,5,6,7
war,6,8,4,8,8
waz,5,7,6,6,7
xak,6,8,8,7,8
xar,6,7,8,7,7
xor,6,7,8,7,7
zag,6,8,7,7,8
zak,6,8,7,7,8
zar,6,7,7,7,7
zhag,7,8,8,8,8
zhak,7,8,8,8,8
zug,7,9,7,8,9
zul,6,8,7,7,8
zur,6,8,7,7,8
