prefix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc,vowel_first
Az,6,7,7,7,7,1
Ag,5,8,5,7,8,1
Ar,5,7,5,7,7,1
Agh,7,9,7,8,9,1
Al,4,6,4,5,6,1
Az,6,7,6,7,7,1
Arg,6,8,6,7,8,1
Ark,6,8,5,7,8,1
Ash,5,7,5,6,7,1
At,4,6,4,5,6,1
Ath,5,7,6,6,7,1
Azk,7,8,7,8,8,1
Arz,6,8,7,7,8,1
Ak,5,7,5,6,7,1
Ath,5,7,6,6,7,1
Ang,5,7,6,6,7,1
Ax,6,8,6,7,8,1
Az,6,7,7,7,7,1
Ur,6,8,6,7,8,1
Uk,6,8,5,7,8,1
Ug,7,9,5,8,9,1
Uth,6,8,6,7,8,1
Ul,5,7,5,6,7,1
Um,5,7,5,6,6,1
Urk,7,9,6,8,9,1
Uzg,8,9,8,9,9,1
Ukt,7,8,7,8,8,1
Utz,7,8,7,8,8,1
Urd,6,8,6,7,8,1
Urt,6,8,6,7,8,1
Ul,5,7,5,6,7,1
Uth,6,8,6,7,8,1
Ugg,7,9,6,8,9,1
Urth,6,8,7,7,8,1
Uld,6,8,6,7,8,1
Ok,6,8,5,7,8,1
Og,7,9,5,8,9,1
Ork,7,9,6,8,9,1
Ozg,8,9,8,9,9,1
Ox,6,8,6,7,8,1
Oth,6,8,6,7,8,1
Orb,6,8,6,7,8,1
Okt,7,8,7,8,8,1
Otz,7,8,7,8,8,1
Olg,7,8,6,8,8,1
Or,5,7,5,7,7,1
Ox,6,8,6,7,8,1
Ogg,7,9,6,8,9,1
Osh,6,7,6,7,7,1
Oll,5,7,5,6,7,1
Izg,7,8,8,8,8,1
Irk,6,8,6,7,8,1
Ith,5,7,6,6,7,1
Ing,5,7,6,6,7,1
Iz,5,7,7,6,7,1
Ik,5,7,5,6,7,1
Ish,5,7,6,6,7,1
Ird,5,7,6,6,7,1
Ix,6,7,7,7,7,1
Itz,6,8,7,7,8,1
Ir,4,6,5,5,6,1
Ib,4,6,5,5,6,1
Izk,7,8,8,8,8,1
Id,4,6,4,5,6,1
Ill,4,6,5,5,6,1
Bah,5,8,5,7,8,0
Bar,5,7,4,7,7,0
Bag,6,8,5,7,8,0
Bak,6,8,5,7,8,0
Baz,6,8,6,7,8,0
Bark,6,8,5,7,8,0
Barg,6,8,6,7,8,0
Bash,6,8,5,7,8,0
Bakh,7,8,7,8,8,0
Baz,6,8,6,7,8,0
Balt,5,7,5,6,7,0
Bol,5,7,5,6,7,0
Bor,5,7,5,7,7,0
Bog,6,8,5,7,8,0
Bok,6,8,5,7,8,0
Bold,6,8,5,7,8,0
Bone,5,7,4,7,7,0
Black,5,7,4,7,7,0
Blood,7,8,4,9,8,0
Blast,6,8,5,8,8,0
Brash,6,8,5,7,8,0
Brass,5,7,4,7,7,0
Brak,7,8,6,8,8,0
Brug,7,9,7,8,9,0
Bruk,7,9,6,8,9,0
Brugg,7,9,7,8,9,0
Brok,7,8,6,8,8,0
Brog,7,8,6,8,8,0
Brak,7,8,6,8,8,0
Bruul,7,8,7,8,8,0
Chag,6,8,6,7,8,0
Char,5,7,5,7,7,0
Chak,6,8,6,7,8,0
Cham,5,7,6,6,7,0
Chaz,6,8,7,7,8,0
Crag,6,8,5,7,8,0
Crak,6,8,5,7,8,0
Crash,6,8,5,8,8,0
Crush,7,8,5,9,8,0
Crul,7,8,6,8,8,0
Crull,7,8,6,8,8,0
Death,8,8,5,9,8,0
Dar,5,7,5,7,7,0
Dag,6,8,5,7,8,0
Dak,6,8,5,7,8,0
Dark,6,7,4,7,7,0
Dank,5,7,5,6,7,0
Dirt,5,8,4,6,8,0
Dorn,5,7,5,6,7,0
Doom,7,8,5,9,8,0
Drok,7,8,6,8,8,0
Drak,7,8,6,8,8,0
Drak,7,8,6,8,8,0
Druk,7,9,6,8,9,0
Drug,7,9,6,8,9,0
Dreg,6,8,5,7,8,0
Drog,7,8,6,8,8,0
Dorg,6,8,6,7,8,0
Durg,7,9,6,8,9,0
Durz,7,8,7,8,8,0
Fel,6,7,6,7,7,0
Fang,6,8,5,8,8,0
Far,5,7,4,6,7,0
Fel,6,7,6,7,7,0
Flame,6,7,4,8,7,0
Flint,5,7,4,7,7,0
Forg,6,8,5,7,8,0
Fraz,6,8,7,7,8,0
Frost,5,7,4,7,7,0
Furn,5,7,5,6,7,0
Gah,6,9,6,7,9,0
Gar,6,8,5,7,8,0
Gak,6,8,5,7,8,0
Gam,5,7,5,6,7,0
Gaz,6,8,6,7,8,0
Gath,6,8,6,7,8,0
Garg,7,9,6,8,9,0
Gash,6,8,5,7,8,0
Gax,6,8,6,7,8,0
Gaz,6,8,6,7,8,0
Gald,5,7,6,6,7,0
Ghan,6,8,7,7,8,0
Ghaz,7,8,7,8,8,0
Ghor,6,8,6,7,8,0
Ghul,7,8,7,8,8,0
Glok,6,8,6,7,8,0
Gog,6,9,5,7,9,0
Gor,6,8,5,7,8,0
Gorg,7,9,6,8,9,0
Gorth,6,8,6,7,8,0
Grak,7,9,6,8,9,0
Gram,5,7,5,6,7,0
Grath,6,8,6,7,8,0
Graz,6,8,6,7,8,0
Grik,6,8,6,7,8,0
Grim,6,7,4,7,7,0
