suffix,good_evil,elegant_rough,common_exotic,weak_powerful,fem_masc
a,4,5,3,5,4
ack,6,8,5,7,8
ag,6,8,5,7,8
ah,5,7,5,6,7
ak,6,8,5,7,8
al,5,6,4,6,6
am,5,6,4,6,6
an,5,6,4,5,6
ang,6,8,6,7,8
ank,6,8,5,7,8
ar,5,7,4,6,7
ark,6,8,5,7,8
arn,6,7,5,6,7
arsh,6,8,6,7,8
ash,6,7,5,7,7
at,5,7,4,6,7
ath,6,7,6,7,7
aw,5,7,4,6,7
ax,6,8,6,7,8
ay,4,5,3,5,4
az,6,7,6,7,7
ba,5,7,4,6,7
bad,6,7,5,7,7
bag,6,8,5,7,8
bak,6,8,5,7,8
ban,5,7,4,6,6
bar,6,7,4,7,7
bash,6,8,5,7,8
bat,6,7,5,7,7
bax,6,8,6,7,8
baz,6,8,6,7,8
ber,5,7,4,6,7
bor,5,7,5,7,7
brag,7,8,6,8,8
brak,7,8,6,8,8
bring,6,7,5,7,7
brush,6,7,5,7,7
brut,6,8,5,7,8
bul,6,7,5,7,7
bur,6,7,5,7,7
but,5,7,4,6,7
chak,6,8,6,7,8
cham,5,7,6,6,7
chet,5,7,5,6,7
chop,6,8,5,7,8
chuk,6,8,6,7,8
clap,5,7,4,6,7
claw,6,8,5,7,8
crash,6,8,5,8,8
cron,6,7,6,7,7
crush,7,8,5,9,8
cut,5,7,4,6,7
dag,6,8,5,7,8
dak,6,8,5,7,8
dal,5,7,4,6,7
dam,5,6,4,6,6
dan,5,6,4,5,6
dar,6,7,5,7,7
dash,6,7,5,7,7
dat,5,7,4,6,7
den,5,6,4,5,6
der,5,6,4,6,6
dish,5,6,5,6,6
dog,5,7,4,6,7
dom,6,7,5,7,7
don,5,6,4,5,6
dor,5,7,4,6,7
drak,7,8,6,8,8
drum,6,8,5,7,8
dug,6,8,5,7,8
duk,6,8,5,7,8
dum,5,7,4,6,7
dun,5,6,4,5,6
dur,6,7,5,7,7
dush,6,7,6,7,7
e,3,4,3,3,4
ed,4,6,3,5,6
eg,5,7,4,6,7
ek,5,7,4,6,7
el,4,5,4,5,5
em,4,5,4,5,5
er,4,6,3,5,6
esh,5,6,5,6,6
et,4,6,3,5,6
ez,5,6,5,6,6
fang,6,8,5,8,8
fax,5,7,5,6,7
fek,5,7,4,6,7
fel,5,7,5,6,6
fist,6,8,4,8,8
gak,7,8,6,8,8
gal,5,7,4,6,7
gam,5,7,4,6,7
gan,5,7,4,6,7
gar,6,8,5,7,8
gash,7,8,6,8,8
gat,5,7,5,6,7
ger,5,7,4,6,7
gha,6,8,6,7,8
ghak,7,8,7,8,8
ghan,6,7,6,7,7
ghar,7,8,7,8,8
ghaz,7,8,7,8,8
ghor,6,8,6,7,8
ghul,7,8,7,8,8
gish,6,7,6,7,7
glak,6,8,6,7,8
glar,6,7,6,7,7
glug,6,8,5,7,8
gnash,6,7,6,7,7
gob,6,8,5,7,8
gog,6,9,5,7,9
gol,5,7,4,6,7
gor,6,8,5,7,8
gore,7,8,5,8,8
gosh,6,7,6,7,7
goth,6,7,6,7,7
gov,5,7,5,6,7
grak,7,9,6,8,9
gram,5,7,5,6,7
grim,6,7,4,7,7
grog,6,8,5,7,8
grom,6,8,6,7,8
gron,6,7,5,7,7
grul,7,8,6,8,8
grum,6,7,6,7,7
grun,6,7,5,7,7
grunt,6,8,5,7,8
grut,6,8,5,7,8
gug,6,8,5,7,8
gul,6,8,6,7,8
gum,5,6,4,6,6
gush,5,7,5,6,7
gut,6,8,4,7,8
guz,6,8,6,7,8
hack,6,8,5,7,8
hak,6,8,5,7,8
han,5,6,4,5,6
har,5,7,5,7,7
hash,5,7,5,6,7
hat,5,7,4,6,7
hax,5,7,5,6,7
hex,5,7,5,6,7
hul,5,7,5,6,7
i,3,4,3,3,4
ik,5,7,5,6,7
il,4,5,4,5,5
im,4,5,4,5,5
in,4,5,3,5,5
ir,4,6,4,5,6
ish,5,6,5,6,6
it,4,6,3,5,6
ix,5,6,6,6,6
iz,5,6,6,6,6
jak,6,8,5,7,8
jam,5,6,5,6,6
jar,5,7,5,6,7
jaw,5,7,5,6,7
jax,6,8,6,7,8
jek,5,7,5,6,7
jerk,5,7,5,6,7
jig,5,7,5,6,7
jit,5,7,5,6,7
jiz,5,7,6,6,7
jog,5,7,5,6,7
jot,5,7,4,6,7
juk,5,7,5,6,7
ka,5,7,5,6,7
kab,6,8,5,7,8
kag,7,8,7,8,8
kah,6,8,6,7,8
kak,7,8,6,8,8
kal,5,7,5,6,7
kan,5,7,5,6,7
kar,6,8,5,7,8
kash,6,7,6,7,7
kat,5,7,5,6,7
kav,5,7,6,6,7
kax,6,8,6,7,8
kaz,7,8,7,8,8
